E,F,err_pos,err_neg
1.110044956000000083e+00,1.144999981000000000e+00,7.000000000000000666e-02,7.000000000000000666e-02
1.334615945999999997e+00,9.944999810000000329e-01,5.099999899999999725e-02,5.099999899999999725e-02
1.584676981000000096e+00,8.331999780000000078e-01,3.500000000000000333e-02,3.500000000000000333e-02
1.854724049999999957e+00,6.025999779999999806e-01,2.299999999999999961e-02,2.299999999999999961e-02
2.149419068999999904e+00,4.900000099999999859e-01,1.700000100000000069e-02,1.700000100000000069e-02
2.474167109000000142e+00,3.968999979999999761e-01,1.299999999999999940e-02,1.299999999999999940e-02
2.819574117999999796e+00,3.039000029999999741e-01,1.000000000000000021e-02,1.000000000000000021e-02
3.174901961999999855e+00,2.375999990000000062e-01,8.099999999999999561e-03,8.099999999999999561e-03
3.540169001000000204e+00,1.838999990000000084e-01,6.599999999999999964e-03,6.599999999999999964e-03
3.920152902999999966e+00,1.477999989999999875e-01,5.400000000000000286e-03,5.400000000000000286e-03
4.324904918999999737e+00,1.230999980000000021e-01,4.400000000000000265e-03,4.400000000000000265e-03
4.764451980999999670e+00,9.686999799999999883e-02,3.599999999999999901e-03,3.599999999999999901e-03
5.239274979000000165e+00,7.451999900000000343e-02,2.799999999999999972e-03,2.799999999999999972e-03
5.739337920999999731e+00,5.860000099999999879e-02,2.299999999999999961e-03,2.299999999999999961e-03
6.264183998000000031e+00,4.789000000000000201e-02,1.899999999999999996e-03,1.899999999999999996e-03
6.814249991999999700e+00,3.606999999999999790e-02,1.500000000000000031e-03,1.500000000000000031e-03
7.389113903000000150e+00,2.857000000000000164e-02,1.299999999999999940e-03,1.299999999999999940e-03
7.989180088000000346e+00,2.580999999999999961e-02,1.199999999999999895e-03,1.199999999999999895e-03
8.618874549999999246e+00,1.876999999999999849e-02,9.399999999999999719e-04,9.399999999999999719e-04
9.278955460000000599e+00,1.584999999999999951e-02,8.300000000000000086e-04,8.300000000000000086e-04
9.963854789999999184e+00,1.256999999999999958e-02,6.999999999999999929e-04,6.999999999999999929e-04
1.067393017000000022e+01,1.038000000000000034e-02,6.099999999999999737e-04,6.099999999999999737e-04
1.141368008000000067e+01,7.614000000000000108e-03,5.000000000000000104e-04,5.000000000000000104e-04
1.218859959000000082e+01,6.611999999999999822e-03,4.499999999999999877e-04,4.499999999999999877e-04
1.299353027000000083e+01,5.703999999999999869e-03,4.000000000000000192e-04,4.000000000000000192e-04
1.382361983999999921e+01,4.910000000000000302e-03,3.600000000000000227e-04,3.600000000000000227e-04
1.468826007999999916e+01,4.061999999999999639e-03,3.099999999999999999e-04,3.099999999999999999e-04
1.558835982999999992e+01,3.108999999999999785e-03,2.700000000000000035e-04,2.700000000000000035e-04
1.651816940000000145e+01,3.105000000000000121e-03,2.500000000000000052e-04,2.500000000000000052e-04
1.748312950000000043e+01,2.082000000000000083e-03,2.000000000000000096e-04,2.000000000000000096e-04
1.847809982000000062e+01,1.948000000000000079e-03,1.900000000000000105e-04,1.900000000000000105e-04
1.950794029000000052e+01,1.912000000000000071e-03,1.800000000000000113e-04,1.800000000000000113e-04
2.057777976999999936e+01,1.487000000000000040e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.168276978000000099e+01,1.384999999999999946e-03,1.499999999999999869e-04,1.499999999999999869e-04
2.282751083000000136e+01,1.113000000000000057e-03,1.200000000000000030e-04,1.200000000000000030e-04
2.401251029999999886e+01,8.335000000000000395e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.525189018000000019e+01,8.298000000000000037e-04,9.899999999999999404e-05,9.899999999999999404e-05
2.656642914000000033e+01,7.908000000000000316e-04,9.299999999999999727e-05,9.299999999999999727e-05
2.795586013999999864e+01,5.406999999999999697e-04,7.399999999999999623e-05,7.399999999999999623e-05
2.943506049999999874e+01,5.326000000000000439e-04,6.999999999999999387e-05,6.999999999999999387e-05
3.100455093000000062e+01,4.137999999999999751e-04,6.099999999999999872e-05,6.099999999999999872e-05
3.266381073000000157e+01,3.622000000000000219e-04,5.399999999999999798e-05,5.399999999999999798e-05
3.443283843999999760e+01,3.978000000000000199e-04,5.399999999999999798e-05,5.399999999999999798e-05
3.632191849000000161e+01,2.737999999999999874e-04,4.300000000000000165e-05,4.300000000000000165e-05
3.833589934999999826e+01,2.065000000000000049e-04,3.800000000000000209e-05,3.800000000000000209e-05
4.048479079999999897e+01,2.105999999999999962e-04,3.600000000000000091e-05,3.600000000000000091e-05
4.278831862999999913e+01,1.253000000000000099e-04,2.699999999999999899e-05,2.699999999999999899e-05
4.526676178000000306e+01,1.656999999999999890e-04,3.000000000000000076e-05,3.000000000000000076e-05
4.793014145000000070e+01,1.521000000000000108e-04,2.799999999999999958e-05,2.799999999999999958e-05
