E,F,err_pos,err_neg
1.110044956000000083e+00,1.636999965000000001e+00,8.299999700000000591e-02,8.299999700000000591e-02
1.334615945999999997e+00,1.269000053000000072e+00,5.700000000000000205e-02,5.700000000000000205e-02
1.584676981000000096e+00,9.965999719999999451e-01,3.799999899999999958e-02,3.799999899999999958e-02
1.854724049999999957e+00,7.053999899999999768e-01,2.500000000000000139e-02,2.500000000000000139e-02
2.149419068999999904e+00,5.724999899999999586e-01,1.799999899999999917e-02,1.799999899999999917e-02
2.474167109000000142e+00,4.325999919999999888e-01,1.400000000000000029e-02,1.400000000000000029e-02
2.819574117999999796e+00,3.666999939999999736e-01,1.099999999999999936e-02,1.099999999999999936e-02
3.174901961999999855e+00,2.655000089999999813e-01,8.600000000000000006e-03,8.600000000000000006e-03
3.540169001000000204e+00,2.036000040000000011e-01,6.899999999999999883e-03,6.899999999999999883e-03
3.920152902999999966e+00,1.580999939999999937e-01,5.599999999999999943e-03,5.599999999999999943e-03
4.324904918999999737e+00,1.252000030000000041e-01,4.499999999999999660e-03,4.499999999999999660e-03
4.764451980999999670e+00,9.871000100000000554e-02,3.599999999999999901e-03,3.599999999999999901e-03
5.239274979000000165e+00,7.738000200000000328e-02,2.899999999999999800e-03,2.899999999999999800e-03
5.739337920999999731e+00,6.012000099999999930e-02,2.299999999999999961e-03,2.299999999999999961e-03
6.264183998000000031e+00,4.890999900000000261e-02,1.899999999999999996e-03,1.899999999999999996e-03
6.814249991999999700e+00,3.330999999999999933e-02,1.500000000000000031e-03,1.500000000000000031e-03
7.389113903000000150e+00,2.949999999999999845e-02,1.299999999999999940e-03,1.299999999999999940e-03
7.989180088000000346e+00,2.444999999999999951e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,2.153000000000000053e-02,9.899999999999999946e-04,9.899999999999999946e-04
9.278955460000000599e+00,1.442000000000000053e-02,7.900000000000000121e-04,7.900000000000000121e-04
9.963854789999999184e+00,1.156000000000000083e-02,6.700000000000000226e-04,6.700000000000000226e-04
1.067393017000000022e+01,1.055999999999999994e-02,6.099999999999999737e-04,6.099999999999999737e-04
1.141368008000000067e+01,7.599999999999999985e-03,4.899999999999999842e-04,4.899999999999999842e-04
1.218859959000000082e+01,6.370999999999999927e-03,4.400000000000000157e-04,4.400000000000000157e-04
1.299353027000000083e+01,5.707000000000000267e-03,3.899999999999999929e-04,3.899999999999999929e-04
1.382361983999999921e+01,4.699000000000000052e-03,3.499999999999999964e-04,3.499999999999999964e-04
1.468826007999999916e+01,3.550000000000000204e-03,2.900000000000000017e-04,2.900000000000000017e-04
1.558835982999999992e+01,3.053000000000000158e-03,2.599999999999999772e-04,2.599999999999999772e-04
1.651816940000000145e+01,2.487000000000000061e-03,2.300000000000000070e-04,2.300000000000000070e-04
1.748312950000000043e+01,2.621000000000000066e-03,2.300000000000000070e-04,2.300000000000000070e-04
1.847809982000000062e+01,1.858999999999999975e-03,1.800000000000000113e-04,1.800000000000000113e-04
1.950794029000000052e+01,2.030999999999999819e-03,1.900000000000000105e-04,1.900000000000000105e-04
2.057777976999999936e+01,1.523000000000000048e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.168276978000000099e+01,1.351999999999999903e-03,1.399999999999999877e-04,1.399999999999999877e-04
2.282751083000000136e+01,1.090000000000000040e-03,1.200000000000000030e-04,1.200000000000000030e-04
2.401251029999999886e+01,9.269999999999999811e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.525189018000000019e+01,8.107999999999999756e-04,9.699999999999999963e-05,9.699999999999999963e-05
2.656642914000000033e+01,6.313999999999999517e-04,8.299999999999999815e-05,8.299999999999999815e-05
2.795586013999999864e+01,4.770999999999999959e-04,6.999999999999999387e-05,6.999999999999999387e-05
2.943506049999999874e+01,5.460000000000000443e-04,7.100000000000000462e-05,7.100000000000000462e-05
3.100455093000000062e+01,4.793999999999999976e-04,6.399999999999999710e-05,6.399999999999999710e-05
3.266381073000000157e+01,4.708000000000000054e-04,6.099999999999999872e-05,6.099999999999999872e-05
3.443283843999999760e+01,3.083000000000000128e-04,4.800000000000000122e-05,4.800000000000000122e-05
3.632191849000000161e+01,1.736999999999999937e-04,3.499999999999999693e-05,3.499999999999999693e-05
3.833589934999999826e+01,2.156000000000000093e-04,3.800000000000000209e-05,3.800000000000000209e-05
4.048479079999999897e+01,1.907000000000000004e-04,3.399999999999999973e-05,3.399999999999999973e-05
4.278831862999999913e+01,1.129000000000000066e-04,2.599999999999999840e-05,2.599999999999999840e-05
4.526676178000000306e+01,1.432000000000000113e-04,2.699999999999999899e-05,2.699999999999999899e-05
4.793014145000000070e+01,1.136999999999999990e-04,2.400000000000000061e-05,2.400000000000000061e-05
