E,F,err_pos,err_neg
1.110044956000000083e+00,1.679000019999999926e+00,8.500000100000000558e-02,8.500000100000000558e-02
1.334615945999999997e+00,1.375000000000000000e+00,5.999999899999999831e-02,5.999999899999999831e-02
1.584676981000000096e+00,9.980000260000000400e-01,3.900000099999999942e-02,3.900000099999999942e-02
1.854724049999999957e+00,7.491999860000000400e-01,2.600000099999999828e-02,2.600000099999999828e-02
2.149419068999999904e+00,5.709000229999999787e-01,1.899999900000000005e-02,1.899999900000000005e-02
2.474167109000000142e+00,4.736000000000000210e-01,1.400000000000000029e-02,1.400000000000000029e-02
2.819574117999999796e+00,3.364999889999999994e-01,1.099999999999999936e-02,1.099999999999999936e-02
3.174901961999999855e+00,2.633999879999999738e-01,8.600000000000000006e-03,8.600000000000000006e-03
3.540169001000000204e+00,1.985000070000000061e-01,6.799999999999999621e-03,6.799999999999999621e-03
3.920152902999999966e+00,1.557999999999999940e-01,5.499999999999999681e-03,5.499999999999999681e-03
4.324904918999999737e+00,1.181999970000000011e-01,4.300000000000000003e-03,4.300000000000000003e-03
4.764451980999999670e+00,9.512999699999999392e-02,3.500000000000000073e-03,3.500000000000000073e-03
5.239274979000000165e+00,7.598999900000000252e-02,2.799999999999999972e-03,2.799999999999999972e-03
5.739337920999999731e+00,5.908000100000000004e-02,2.299999999999999961e-03,2.299999999999999961e-03
6.264183998000000031e+00,4.625999900000000303e-02,1.899999999999999996e-03,1.899999999999999996e-03
6.814249991999999700e+00,3.805999799999999766e-02,1.600000000000000077e-03,1.600000000000000077e-03
7.389113903000000150e+00,2.863999999999999879e-02,1.299999999999999940e-03,1.299999999999999940e-03
7.989180088000000346e+00,2.366999900000000059e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,1.876999999999999849e-02,9.300000000000000541e-04,9.300000000000000541e-04
9.278955460000000599e+00,1.391000000000000049e-02,7.699999999999999597e-04,7.699999999999999597e-04
9.963854789999999184e+00,1.272000000000000040e-02,6.999999999999999929e-04,6.999999999999999929e-04
1.067393017000000022e+01,9.069999999999999937e-03,5.699999999999999772e-04,5.699999999999999772e-04
1.141368008000000067e+01,8.104999999999999358e-03,5.100000000000000366e-04,5.100000000000000366e-04
1.218859959000000082e+01,6.579999999999999911e-03,4.400000000000000157e-04,4.400000000000000157e-04
1.299353027000000083e+01,4.788999999999999854e-03,3.600000000000000227e-04,3.600000000000000227e-04
1.382361983999999921e+01,4.628000000000000169e-03,3.499999999999999964e-04,3.499999999999999964e-04
1.468826007999999916e+01,3.151999999999999854e-03,2.799999999999999755e-04,2.799999999999999755e-04
1.558835982999999992e+01,2.939000000000000206e-03,2.599999999999999772e-04,2.599999999999999772e-04
1.651816940000000145e+01,2.720000000000000195e-03,2.400000000000000061e-04,2.400000000000000061e-04
1.748312950000000043e+01,2.285999999999999838e-03,2.100000000000000087e-04,2.100000000000000087e-04
1.847809982000000062e+01,1.941999999999999933e-03,1.900000000000000105e-04,1.900000000000000105e-04
1.950794029000000052e+01,1.498999999999999898e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.057777976999999936e+01,1.317999999999999944e-03,1.499999999999999869e-04,1.499999999999999869e-04
2.168276978000000099e+01,1.258999999999999920e-03,1.399999999999999877e-04,1.399999999999999877e-04
2.282751083000000136e+01,1.028999999999999967e-03,1.200000000000000030e-04,1.200000000000000030e-04
2.401251029999999886e+01,9.016000000000000143e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.525189018000000019e+01,7.517000000000000027e-04,9.299999999999999727e-05,9.299999999999999727e-05
2.656642914000000033e+01,6.809999999999999647e-04,8.500000000000000611e-05,8.500000000000000611e-05
2.795586013999999864e+01,5.331999999999999500e-04,7.200000000000000182e-05,7.200000000000000182e-05
2.943506049999999874e+01,4.345999999999999928e-04,6.299999999999999990e-05,6.299999999999999990e-05
3.100455093000000062e+01,4.605000000000000261e-04,6.200000000000000270e-05,6.200000000000000270e-05
3.266381073000000157e+01,4.156000000000000189e-04,5.700000000000000314e-05,5.700000000000000314e-05
3.443283843999999760e+01,3.165999999999999977e-04,4.800000000000000122e-05,4.800000000000000122e-05
3.632191849000000161e+01,3.343999999999999967e-04,4.699999999999999724e-05,4.699999999999999724e-05
3.833589934999999826e+01,1.858999999999999921e-04,3.499999999999999693e-05,3.499999999999999693e-05
4.048479079999999897e+01,1.901000000000000129e-04,3.399999999999999973e-05,3.399999999999999973e-05
4.278831862999999913e+01,1.547999999999999951e-04,3.000000000000000076e-05,3.000000000000000076e-05
4.526676178000000306e+01,1.543000000000000101e-04,2.799999999999999958e-05,2.799999999999999958e-05
4.793014145000000070e+01,1.488999999999999872e-04,2.699999999999999899e-05,2.699999999999999899e-05
