E,F,err_pos,err_neg
1.110044956000000083e+00,1.190999984999999928e+00,7.100000200000000650e-02,7.100000200000000650e-02
1.334615945999999997e+00,1.003999949000000003e+00,5.099999899999999725e-02,5.099999899999999725e-02
1.584676981000000096e+00,8.130000229999999606e-01,3.400000200000000139e-02,3.400000200000000139e-02
1.854724049999999957e+00,6.255000229999999606e-01,2.400000000000000050e-02,2.400000000000000050e-02
2.149419068999999904e+00,5.070999859999999471e-01,1.700000100000000069e-02,1.700000100000000069e-02
2.474167109000000142e+00,4.009999929999999990e-01,1.299999999999999940e-02,1.299999999999999940e-02
2.819574117999999796e+00,3.102000059999999726e-01,1.000000000000000021e-02,1.000000000000000021e-02
3.174901961999999855e+00,2.500000000000000000e-01,8.300000000000000086e-03,8.300000000000000086e-03
3.540169001000000204e+00,2.053000030000000087e-01,6.899999999999999883e-03,6.899999999999999883e-03
3.920152902999999966e+00,1.345999989999999980e-01,5.100000000000000366e-03,5.100000000000000366e-03
4.324904918999999737e+00,1.168999970000000055e-01,4.300000000000000003e-03,4.300000000000000003e-03
4.764451980999999670e+00,9.326999599999999391e-02,3.500000000000000073e-03,3.500000000000000073e-03
5.239274979000000165e+00,7.800000199999999884e-02,2.899999999999999800e-03,2.899999999999999800e-03
5.739337920999999731e+00,5.895000000000000240e-02,2.299999999999999961e-03,2.299999999999999961e-03
6.264183998000000031e+00,4.369999799999999684e-02,1.799999999999999951e-03,1.799999999999999951e-03
6.814249991999999700e+00,3.714999900000000299e-02,1.600000000000000077e-03,1.600000000000000077e-03
7.389113903000000150e+00,2.767999999999999974e-02,1.299999999999999940e-03,1.299999999999999940e-03
7.989180088000000346e+00,2.397000000000000172e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,1.954000100000000129e-02,9.499999999999999981e-04,9.499999999999999981e-04
9.278955460000000599e+00,1.521999999999999915e-02,8.000000000000000383e-04,8.000000000000000383e-04
9.963854789999999184e+00,1.468999999999999993e-02,7.399999999999999894e-04,7.399999999999999894e-04
1.067393017000000022e+01,8.977999999999999869e-03,5.599999999999999509e-04,5.599999999999999509e-04
1.141368008000000067e+01,8.137999999999999401e-03,5.100000000000000366e-04,5.100000000000000366e-04
1.218859959000000082e+01,6.975000000000000297e-03,4.499999999999999877e-04,4.499999999999999877e-04
1.299353027000000083e+01,5.474999999999999832e-03,3.899999999999999929e-04,3.899999999999999929e-04
1.382361983999999921e+01,4.309000000000000330e-03,3.299999999999999982e-04,3.299999999999999982e-04
1.468826007999999916e+01,3.508999999999999966e-03,2.900000000000000017e-04,2.900000000000000017e-04
1.558835982999999992e+01,2.965000000000000187e-03,2.599999999999999772e-04,2.599999999999999772e-04
1.651816940000000145e+01,2.624000000000000030e-03,2.300000000000000070e-04,2.300000000000000070e-04
1.748312950000000043e+01,2.098000000000000038e-03,2.000000000000000096e-04,2.000000000000000096e-04
1.847809982000000062e+01,2.247999999999999998e-03,2.000000000000000096e-04,2.000000000000000096e-04
1.950794029000000052e+01,1.445000000000000104e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.057777976999999936e+01,1.206000000000000041e-03,1.399999999999999877e-04,1.399999999999999877e-04
2.168276978000000099e+01,1.366000000000000027e-03,1.399999999999999877e-04,1.399999999999999877e-04
2.282751083000000136e+01,1.093000000000000005e-03,1.200000000000000030e-04,1.200000000000000030e-04
2.401251029999999886e+01,8.524999999999999592e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.525189018000000019e+01,7.718000000000000034e-04,9.399999999999999448e-05,9.399999999999999448e-05
2.656642914000000033e+01,7.785999999999999518e-04,9.100000000000000287e-05,9.100000000000000287e-05
2.795586013999999864e+01,5.825000000000000100e-04,7.499999999999999343e-05,7.499999999999999343e-05
2.943506049999999874e+01,5.211999999999999836e-04,6.799999999999999946e-05,6.799999999999999946e-05
3.100455093000000062e+01,4.592999999999999969e-04,6.200000000000000270e-05,6.200000000000000270e-05
3.266381073000000157e+01,4.799000000000000097e-04,6.099999999999999872e-05,6.099999999999999872e-05
3.443283843999999760e+01,4.350000000000000026e-04,5.599999999999999916e-05,5.599999999999999916e-05
3.632191849000000161e+01,2.380000000000000117e-04,4.100000000000000047e-05,4.100000000000000047e-05
3.833589934999999826e+01,2.336000000000000131e-04,3.899999999999999929e-05,3.899999999999999929e-05
4.048479079999999897e+01,9.930000000000000133e-05,2.599999999999999840e-05,2.599999999999999840e-05
4.278831862999999913e+01,2.043000000000000057e-04,3.399999999999999973e-05,3.399999999999999973e-05
4.526676178000000306e+01,1.764000000000000051e-04,3.000000000000000076e-05,3.000000000000000076e-05
4.793014145000000070e+01,8.380000000000000404e-05,2.000000000000000164e-05,2.000000000000000164e-05
