E,F,err_pos,err_neg
1.110044956000000083e+00,1.194000006000000003e+00,7.199999699999999614e-02,7.199999699999999614e-02
1.334615945999999997e+00,9.642999770000000304e-01,5.000000100000000225e-02,5.000000100000000225e-02
1.584676981000000096e+00,7.985000009999999593e-01,3.400000200000000139e-02,3.400000200000000139e-02
1.854724049999999957e+00,5.982999799999999535e-01,2.299999999999999961e-02,2.299999999999999961e-02
2.149419068999999904e+00,4.984999900000000039e-01,1.700000100000000069e-02,1.700000100000000069e-02
2.474167109000000142e+00,3.970000149999999839e-01,1.299999999999999940e-02,1.299999999999999940e-02
2.819574117999999796e+00,3.064000009999999774e-01,1.000000000000000021e-02,1.000000000000000021e-02
3.174901961999999855e+00,2.335000040000000110e-01,8.000000000000000167e-03,8.000000000000000167e-03
3.540169001000000204e+00,1.894000020000000117e-01,6.599999999999999964e-03,6.599999999999999964e-03
3.920152902999999966e+00,1.439999939999999923e-01,5.300000000000000024e-03,5.300000000000000024e-03
4.324904918999999737e+00,1.146000030000000058e-01,4.300000000000000003e-03,4.300000000000000003e-03
4.764451980999999670e+00,9.031999899999999804e-02,3.399999999999999811e-03,3.399999999999999811e-03
5.239274979000000165e+00,7.365000200000000607e-02,2.799999999999999972e-03,2.799999999999999972e-03
5.739337920999999731e+00,5.324000100000000207e-02,2.200000000000000133e-03,2.200000000000000133e-03
6.264183998000000031e+00,4.314000199999999674e-02,1.799999999999999951e-03,1.799999999999999951e-03
6.814249991999999700e+00,3.575000200000000294e-02,1.500000000000000031e-03,1.500000000000000031e-03
7.389113903000000150e+00,2.787999999999999853e-02,1.299999999999999940e-03,1.299999999999999940e-03
7.989180088000000346e+00,2.215999899999999967e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,1.806999899999999978e-02,9.100000000000000016e-04,9.100000000000000016e-04
9.278955460000000599e+00,1.473999999999999963e-02,7.900000000000000121e-04,7.900000000000000121e-04
9.963854789999999184e+00,1.145999999999999970e-02,6.599999999999999964e-04,6.599999999999999964e-04
1.067393017000000022e+01,1.029000000000000054e-02,5.999999999999999474e-04,5.999999999999999474e-04
1.141368008000000067e+01,8.330999999999999864e-03,5.199999999999999544e-04,5.199999999999999544e-04
1.218859959000000082e+01,6.715999999999999748e-03,4.400000000000000157e-04,4.400000000000000157e-04
1.299353027000000083e+01,5.493999999999999752e-03,3.899999999999999929e-04,3.899999999999999929e-04
1.382361983999999921e+01,4.824000000000000163e-03,3.499999999999999964e-04,3.499999999999999964e-04
1.468826007999999916e+01,4.003999999999999747e-03,3.099999999999999999e-04,3.099999999999999999e-04
1.558835982999999992e+01,3.305999999999999911e-03,2.700000000000000035e-04,2.700000000000000035e-04
1.651816940000000145e+01,2.527999999999999865e-03,2.300000000000000070e-04,2.300000000000000070e-04
1.748312950000000043e+01,2.324999999999999810e-03,2.100000000000000087e-04,2.100000000000000087e-04
1.847809982000000062e+01,1.543000000000000101e-03,1.700000000000000122e-04,1.700000000000000122e-04
1.950794029000000052e+01,1.704999999999999918e-03,1.700000000000000122e-04,1.700000000000000122e-04
2.057777976999999936e+01,1.454999999999999913e-03,1.499999999999999869e-04,1.499999999999999869e-04
2.168276978000000099e+01,1.265999999999999981e-03,1.399999999999999877e-04,1.399999999999999877e-04
2.282751083000000136e+01,9.363999999999999928e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.401251029999999886e+01,8.624999999999999854e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.525189018000000019e+01,7.523999999999999655e-04,9.299999999999999727e-05,9.299999999999999727e-05
2.656642914000000033e+01,8.036999999999999656e-04,9.200000000000000007e-05,9.200000000000000007e-05
2.795586013999999864e+01,5.808999999999999711e-04,7.600000000000000418e-05,7.600000000000000418e-05
2.943506049999999874e+01,5.567000000000000334e-04,7.100000000000000462e-05,7.100000000000000462e-05
3.100455093000000062e+01,4.787999999999999830e-04,6.399999999999999710e-05,6.399999999999999710e-05
3.266381073000000157e+01,4.444000000000000142e-04,5.800000000000000034e-05,5.800000000000000034e-05
3.443283843999999760e+01,3.354000000000000210e-04,4.899999999999999842e-05,4.899999999999999842e-05
3.632191849000000161e+01,2.822999999999999772e-04,4.399999999999999886e-05,4.399999999999999886e-05
3.833589934999999826e+01,1.985000000000000002e-04,3.600000000000000091e-05,3.600000000000000091e-05
4.048479079999999897e+01,2.530000000000000239e-04,3.899999999999999929e-05,3.899999999999999929e-05
4.278831862999999913e+01,2.086000000000000018e-04,3.399999999999999973e-05,3.399999999999999973e-05
4.526676178000000306e+01,1.466999999999999880e-04,2.799999999999999958e-05,2.799999999999999958e-05
4.793014145000000070e+01,1.192999999999999996e-04,2.599999999999999840e-05,2.599999999999999840e-05
