E,F,err_pos,err_neg
5.699999930000000381e-01,2.668999910000000142e+00,1.089999970000000012e-01,1.089999970000000012e-01
7.300000190000000000e-01,2.575999975000000219e+00,2.899999899999999853e-02,2.899999899999999853e-02
9.100000259999999619e-01,2.272000074000000147e+00,1.600000099999999981e-02,1.600000099999999981e-02
1.110000013999999924e+00,1.929000019999999926e+00,1.099999999999999936e-02,1.099999999999999936e-02
1.330000043000000076e+00,1.527999996999999999e+00,7.000000000000000146e-03,7.000000000000000146e-03
1.580000043000000076e+00,1.195999980000000074e+00,5.000000000000000104e-03,5.000000000000000104e-03
1.850000024000000076e+00,9.239000080000000503e-01,3.200000000000000153e-03,3.200000000000000153e-03
2.150000095000000222e+00,7.002999779999999896e-01,2.200000000000000133e-03,2.200000000000000133e-03
2.470000028999999930e+00,5.340999960000000213e-01,1.600000000000000077e-03,1.600000000000000077e-03
2.819999933000000070e+00,3.982999919999999916e-01,1.299999999999999940e-03,1.299999999999999940e-03
3.170000076000000000e+00,3.023999929999999781e-01,1.000000000000000021e-03,1.000000000000000021e-03
3.539999962000000000e+00,2.337999940000000110e-01,8.000000000000000383e-04,8.000000000000000383e-04
3.920000076000000000e+00,1.808999930000000089e-01,5.999999999999999474e-04,5.999999999999999474e-04
4.320000172000000305e+00,1.388999969999999973e-01,5.000000000000000104e-04,5.000000000000000104e-04
4.760000229000000083e+00,1.068999989999999956e-01,4.000000000000000192e-04,4.000000000000000192e-04
5.239999770999999917e+00,8.207999900000000071e-02,3.099999999999999999e-04,3.099999999999999999e-04
5.739999770999999917e+00,6.278000000000000247e-02,2.500000000000000052e-04,2.500000000000000052e-04
6.260000229000000083e+00,4.922999799999999704e-02,2.000000000000000096e-04,2.000000000000000096e-04
6.809999943000000222e+00,3.889999899999999761e-02,1.700000000000000122e-04,1.700000000000000122e-04
7.389999866000000139e+00,3.017999999999999849e-02,1.399999999999999877e-04,1.399999999999999877e-04
7.989999770999999917e+00,2.406000000000000152e-02,1.200000000000000030e-04,1.200000000000000030e-04
8.619999886000000444e+00,1.899999900000000005e-02,1.000000000000000048e-04,1.000000000000000048e-04
9.279999733000000361e+00,1.529999999999999936e-02,8.000000000000000654e-05,8.000000000000000654e-05
9.960000038000000444e+00,1.242000000000000048e-02,6.999999999999999387e-05,6.999999999999999387e-05
1.067000007999999944e+01,1.007000000000000083e-02,6.000000000000000152e-05,6.000000000000000152e-05
1.140999985000000017e+01,8.302000000000000351e-03,5.500000000000000196e-05,5.500000000000000196e-05
1.218999958000000028e+01,6.917999999999999670e-03,4.800000000000000122e-05,4.800000000000000122e-05
1.298999977000000072e+01,5.668000000000000295e-03,4.199999999999999768e-05,4.199999999999999768e-05
1.381999968999999950e+01,4.643000000000000425e-03,3.699999999999999811e-05,3.699999999999999811e-05
1.468999958000000028e+01,3.863999999999999813e-03,3.199999999999999855e-05,3.199999999999999855e-05
1.559000014999999983e+01,3.262000000000000142e-03,2.799999999999999958e-05,2.799999999999999958e-05
1.652000045999999855e+01,2.717999999999999930e-03,2.500000000000000120e-05,2.500000000000000120e-05
1.747999954000000145e+01,2.292999999999999899e-03,2.199999999999999943e-05,2.199999999999999943e-05
1.847999954000000145e+01,1.933000000000000039e-03,1.900000000000000105e-05,1.900000000000000105e-05
1.951000022999999928e+01,1.665999999999999946e-03,1.699999999999999987e-05,1.699999999999999987e-05
2.057999991999999878e+01,1.453999999999999997e-03,1.500000000000000038e-05,1.500000000000000038e-05
2.168000031000000050e+01,1.214000000000000018e-03,1.399999999999999979e-05,1.399999999999999979e-05
2.282999991999999878e+01,1.018000000000000025e-03,1.200000000000000030e-05,1.200000000000000030e-05
2.401000022999999928e+01,9.030999999999999965e-04,1.110000000000000045e-05,1.110000000000000045e-05
2.525000000000000000e+01,7.646999999999999935e-04,9.799999999999999345e-06,9.799999999999999345e-06
2.655999947000000105e+01,6.756999999999999985e-04,8.899999999999999491e-06,8.899999999999999491e-06
2.795000076000000178e+01,5.747000000000000372e-04,7.999999999999999638e-06,7.999999999999999638e-06
2.943000031000000050e+01,5.063000000000000009e-04,7.199999999999999674e-06,7.199999999999999674e-06
3.100000000000000000e+01,4.272999999999999780e-04,6.499999999999999600e-06,6.499999999999999600e-06
3.265999984999999839e+01,3.681000000000000027e-04,5.900000000000000262e-06,5.900000000000000262e-06
3.443000030999999694e+01,3.126000000000000089e-04,5.200000000000000188e-06,5.200000000000000188e-06
3.631999969000000306e+01,2.754000000000000263e-04,4.799999999999999783e-06,4.799999999999999783e-06
3.833000183000000050e+01,2.327999999999999937e-04,4.300000000000000335e-06,4.300000000000000335e-06
4.047999954000000145e+01,2.003999999999999922e-04,3.800000000000000040e-06,3.800000000000000040e-06
4.277999877999999967e+01,1.722999999999999868e-04,3.400000000000000058e-06,3.400000000000000058e-06
4.525999832000000112e+01,1.445999999999999911e-04,3.000000000000000076e-06,3.000000000000000076e-06
4.791999816999999950e+01,1.322999999999999903e-04,2.799999999999999873e-06,2.799999999999999873e-06
5.079999923999999822e+01,1.028999999999999940e-04,2.399999999999999891e-06,2.399999999999999891e-06
5.391999816999999950e+01,8.859999999999999874e-05,2.139999999999999840e-06,2.139999999999999840e-06
5.731999969000000306e+01,7.559999999999999446e-05,1.889999999999999904e-06,1.889999999999999904e-06
6.102999877999999967e+01,6.119999999999999681e-05,1.639999999999999968e-06,1.639999999999999968e-06
6.511000061000000017e+01,5.500000000000000196e-05,1.489999999999999922e-06,1.489999999999999922e-06
6.962000274999999760e+01,4.369999999999999834e-05,1.260000000000000007e-06,1.260000000000000007e-06
7.465000152999999727e+01,3.830000000000000261e-05,1.109999999999999960e-06,1.109999999999999960e-06
8.029000091999999711e+01,3.009999999999999980e-05,9.399999999999999998e-07,9.399999999999999998e-07
8.669000244000000066e+01,2.510000000000000024e-05,8.099999999999999739e-07,8.099999999999999739e-07
9.401999664000000223e+01,2.040000000000000119e-05,6.799999999999999481e-07,6.799999999999999481e-07
1.025999984999999981e+02,1.460000000000000082e-05,5.899999999999999627e-07,5.899999999999999627e-07
1.126999969000000021e+02,1.169999999999999979e-05,4.799999999999999571e-07,4.799999999999999571e-07
1.250000000000000000e+02,8.679999999999999904e-06,3.759999999999999788e-07,3.759999999999999788e-07
1.401000061000000017e+02,6.999999999999999895e-06,3.030000000000000001e-07,3.030000000000000001e-07
1.588999938999999983e+02,4.600000000000000004e-06,2.210000000000000069e-07,2.210000000000000069e-07
1.831000061000000017e+02,3.199999999999999855e-06,1.629999999999999905e-07,1.629999999999999905e-07
2.161999969000000021e+02,1.870000000000000095e-06,1.110000000000000013e-07,1.110000000000000013e-07
2.617999877999999967e+02,1.159999999999999905e-06,7.700000000000000128e-08,7.700000000000000128e-08
