E,F,err_pos,err_neg
1.110044956000000083e+00,1.108000040000000075e+00,6.700000200000000294e-02,6.700000200000000294e-02
1.334615945999999997e+00,8.105999830000000239e-01,4.500000199999999728e-02,4.500000199999999728e-02
1.584676981000000096e+00,7.391999959999999703e-01,3.200000199999999961e-02,3.200000199999999961e-02
1.854724049999999957e+00,5.917000169999999670e-01,2.199999999999999872e-02,2.199999999999999872e-02
2.149419068999999904e+00,4.641000029999999832e-01,1.600000099999999981e-02,1.600000099999999981e-02
2.474167109000000142e+00,3.594999910000000187e-01,1.200000000000000025e-02,1.200000000000000025e-02
2.819574117999999796e+00,3.061999979999999733e-01,9.900000000000000813e-03,9.900000000000000813e-03
3.174901961999999855e+00,2.349999989999999872e-01,7.799999999999999642e-03,7.799999999999999642e-03
3.540169001000000204e+00,1.843000049999999890e-01,6.400000000000000307e-03,6.400000000000000307e-03
3.920152902999999966e+00,1.489000020000000035e-01,5.199999999999999761e-03,5.199999999999999761e-03
4.324904918999999737e+00,1.159999969999999936e-01,4.199999999999999740e-03,4.199999999999999740e-03
4.764451980999999670e+00,8.800999800000000595e-02,3.299999999999999982e-03,3.299999999999999982e-03
5.239274979000000165e+00,7.026000300000000143e-02,2.700000000000000143e-03,2.700000000000000143e-03
5.739337920999999731e+00,5.888000100000000125e-02,2.299999999999999961e-03,2.299999999999999961e-03
6.264183998000000031e+00,4.121999800000000075e-02,1.699999999999999905e-03,1.699999999999999905e-03
6.814249991999999700e+00,3.570999999999999869e-02,1.500000000000000031e-03,1.500000000000000031e-03
7.389113903000000150e+00,2.702999999999999847e-02,1.199999999999999895e-03,1.199999999999999895e-03
7.989180088000000346e+00,2.042000000000000065e-02,1.000000000000000021e-03,1.000000000000000021e-03
8.618874549999999246e+00,1.761000000000000065e-02,8.899999999999999491e-04,8.899999999999999491e-04
9.278955460000000599e+00,1.553999999999999999e-02,8.000000000000000383e-04,8.000000000000000383e-04
9.963854789999999184e+00,1.183000000000000024e-02,6.700000000000000226e-04,6.700000000000000226e-04
1.067393017000000022e+01,9.745000000000000190e-03,5.800000000000000034e-04,5.800000000000000034e-04
1.141368008000000067e+01,8.692000000000000073e-03,5.199999999999999544e-04,5.199999999999999544e-04
1.218859959000000082e+01,6.322999999999999628e-03,4.299999999999999894e-04,4.299999999999999894e-04
1.299353027000000083e+01,5.336999999999999730e-03,3.800000000000000209e-04,3.800000000000000209e-04
1.382361983999999921e+01,4.348999999999999568e-03,3.299999999999999982e-04,3.299999999999999982e-04
1.468826007999999916e+01,3.860000000000000150e-03,2.999999999999999737e-04,2.999999999999999737e-04
1.558835982999999992e+01,2.991999999999999868e-03,2.599999999999999772e-04,2.599999999999999772e-04
1.651816940000000145e+01,2.429999999999999868e-03,2.200000000000000078e-04,2.200000000000000078e-04
1.748312950000000043e+01,2.334000000000000137e-03,2.100000000000000087e-04,2.100000000000000087e-04
1.847809982000000062e+01,1.554999999999999959e-03,1.700000000000000122e-04,1.700000000000000122e-04
1.950794029000000052e+01,1.484000000000000076e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.057777976999999936e+01,1.492000000000000054e-03,1.499999999999999869e-04,1.499999999999999869e-04
2.168276978000000099e+01,1.101999999999999898e-03,1.299999999999999886e-04,1.299999999999999886e-04
2.282751083000000136e+01,1.175000000000000046e-03,1.299999999999999886e-04,1.299999999999999886e-04
2.401251029999999886e+01,7.835999999999999650e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.525189018000000019e+01,8.794999999999999650e-04,9.899999999999999404e-05,9.899999999999999404e-05
2.656642914000000033e+01,5.844000000000000019e-04,7.799999999999999859e-05,7.799999999999999859e-05
2.795586013999999864e+01,6.819000000000000408e-04,8.100000000000000375e-05,8.100000000000000375e-05
2.943506049999999874e+01,4.823000000000000139e-04,6.499999999999999431e-05,6.499999999999999431e-05
3.100455093000000062e+01,4.301999999999999943e-04,6.000000000000000152e-05,6.000000000000000152e-05
3.266381073000000157e+01,4.037000000000000007e-04,5.599999999999999916e-05,5.599999999999999916e-05
3.443283843999999760e+01,2.841000000000000209e-04,4.500000000000000283e-05,4.500000000000000283e-05
3.632191849000000161e+01,2.809999999999999998e-04,4.399999999999999886e-05,4.399999999999999886e-05
3.833589934999999826e+01,2.768000000000000061e-04,4.100000000000000047e-05,4.100000000000000047e-05
4.048479079999999897e+01,1.855000000000000095e-04,3.399999999999999973e-05,3.399999999999999973e-05
4.278831862999999913e+01,1.559999999999999972e-04,3.000000000000000076e-05,3.000000000000000076e-05
4.526676178000000306e+01,1.506000000000000014e-04,2.799999999999999958e-05,2.799999999999999958e-05
4.793014145000000070e+01,1.211000000000000027e-04,2.400000000000000061e-05,2.400000000000000061e-05
