E,F,err_pos,err_neg
1.110044956000000083e+00,3.655999899000000219e+00,1.400000010000000128e-01,1.400000010000000128e-01
1.334615945999999997e+00,2.706000089999999858e+00,9.499999900000000164e-02,9.499999900000000164e-02
1.584676981000000096e+00,1.922000050999999932e+00,6.199999900000000008e-02,6.199999900000000008e-02
1.854724049999999957e+00,1.218999981999999926e+00,3.799999899999999958e-02,3.799999899999999958e-02
2.149419068999999904e+00,9.158999920000000516e-01,2.600000099999999828e-02,2.600000099999999828e-02
2.474167109000000142e+00,6.875000000000000000e-01,1.899999900000000005e-02,1.899999900000000005e-02
2.819574117999999796e+00,5.001000169999999523e-01,1.400000000000000029e-02,1.400000000000000029e-02
3.174901961999999855e+00,3.535000090000000039e-01,1.099999999999999936e-02,1.099999999999999936e-02
3.540169001000000204e+00,2.666999999999999926e-01,8.399999999999999481e-03,8.399999999999999481e-03
3.920152902999999966e+00,1.991000029999999976e-01,6.599999999999999964e-03,6.599999999999999964e-03
4.324904918999999737e+00,1.588000059999999936e-01,5.300000000000000024e-03,5.300000000000000024e-03
4.764451980999999670e+00,1.164999979999999935e-01,4.100000000000000346e-03,4.100000000000000346e-03
5.239274979000000165e+00,8.636000000000000620e-02,3.200000000000000153e-03,3.200000000000000153e-03
5.739337920999999731e+00,6.640999799999999786e-02,2.500000000000000052e-03,2.500000000000000052e-03
6.264183998000000031e+00,4.786999900000000335e-02,2.000000000000000042e-03,2.000000000000000042e-03
6.814249991999999700e+00,4.075000100000000097e-02,1.699999999999999905e-03,1.699999999999999905e-03
7.389113903000000150e+00,3.156999900000000137e-02,1.399999999999999986e-03,1.399999999999999986e-03
7.989180088000000346e+00,2.683999899999999980e-02,1.199999999999999895e-03,1.199999999999999895e-03
8.618874549999999246e+00,2.102000099999999996e-02,1.000000000000000021e-03,1.000000000000000021e-03
9.278955460000000599e+00,1.583999999999999991e-02,8.400000000000000348e-04,8.400000000000000348e-04
9.963854789999999184e+00,1.442000000000000053e-02,7.600000000000000418e-04,7.600000000000000418e-04
1.067393017000000022e+01,1.081999999999999976e-02,6.300000000000000261e-04,6.300000000000000261e-04
1.141368008000000067e+01,9.098000000000000184e-03,5.500000000000000331e-04,5.500000000000000331e-04
1.218859959000000082e+01,6.529000000000000081e-03,4.499999999999999877e-04,4.499999999999999877e-04
1.299353027000000083e+01,5.521999999999999999e-03,4.000000000000000192e-04,4.000000000000000192e-04
1.382361983999999921e+01,5.106000000000000295e-03,3.699999999999999947e-04,3.699999999999999947e-04
1.468826007999999916e+01,3.830000000000000071e-03,2.999999999999999737e-04,2.999999999999999737e-04
1.558835982999999992e+01,3.834000000000000168e-03,2.999999999999999737e-04,2.999999999999999737e-04
1.651816940000000145e+01,2.752999999999999805e-03,2.400000000000000061e-04,2.400000000000000061e-04
1.748312950000000043e+01,2.276999999999999944e-03,2.100000000000000087e-04,2.100000000000000087e-04
1.847809982000000062e+01,1.784999999999999911e-03,1.800000000000000113e-04,1.800000000000000113e-04
1.950794029000000052e+01,1.925000000000000062e-03,1.800000000000000113e-04,1.800000000000000113e-04
2.057777976999999936e+01,1.940000000000000101e-03,1.800000000000000113e-04,1.800000000000000113e-04
2.168276978000000099e+01,1.175000000000000046e-03,1.299999999999999886e-04,1.299999999999999886e-04
2.282751083000000136e+01,1.317000000000000028e-03,1.399999999999999877e-04,1.399999999999999877e-04
2.401251029999999886e+01,8.934000000000000318e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.525189018000000019e+01,6.999000000000000447e-04,9.200000000000000007e-05,9.200000000000000007e-05
2.656642914000000033e+01,6.534000000000000528e-04,8.399999999999999535e-05,8.399999999999999535e-05
2.795586013999999864e+01,4.813999999999999920e-04,7.100000000000000462e-05,7.100000000000000462e-05
2.943506049999999874e+01,4.975000000000000039e-04,6.799999999999999946e-05,6.799999999999999946e-05
3.100455093000000062e+01,4.831999999999999815e-04,6.499999999999999431e-05,6.499999999999999431e-05
3.266381073000000157e+01,3.801000000000000234e-04,5.500000000000000196e-05,5.500000000000000196e-05
3.443283843999999760e+01,2.326999999999999913e-04,4.199999999999999768e-05,4.199999999999999768e-05
3.632191849000000161e+01,2.766000000000000012e-04,4.399999999999999886e-05,4.399999999999999886e-05
3.833589934999999826e+01,1.401999999999999926e-04,3.100000000000000135e-05,3.100000000000000135e-05
4.048479079999999897e+01,2.431000000000000001e-04,3.800000000000000209e-05,3.800000000000000209e-05
4.278831862999999913e+01,1.643000000000000092e-04,3.100000000000000135e-05,3.100000000000000135e-05
4.526676178000000306e+01,2.316999999999999941e-04,3.499999999999999693e-05,3.499999999999999693e-05
4.793014145000000070e+01,1.062000000000000064e-04,2.300000000000000002e-05,2.300000000000000002e-05
