E,F,err_pos,err_neg
1.110044956000000083e+00,1.335000038000000000e+00,7.599999799999999917e-02,7.599999799999999917e-02
1.334615945999999997e+00,1.164999962000000000e+00,5.500000000000000028e-02,5.500000000000000028e-02
1.584676981000000096e+00,9.352999929999999962e-01,3.699999999999999817e-02,3.699999999999999817e-02
1.854724049999999957e+00,6.955000159999999987e-01,2.500000000000000139e-02,2.500000000000000139e-02
2.149419068999999904e+00,5.659999850000000388e-01,1.799999899999999917e-02,1.799999899999999917e-02
2.474167109000000142e+00,4.557999970000000123e-01,1.400000000000000029e-02,1.400000000000000029e-02
2.819574117999999796e+00,3.208999929999999945e-01,1.000000000000000021e-02,1.000000000000000021e-02
3.174901961999999855e+00,2.563000020000000267e-01,8.399999999999999481e-03,8.399999999999999481e-03
3.540169001000000204e+00,2.118999960000000071e-01,7.000000000000000146e-03,7.000000000000000146e-03
3.920152902999999966e+00,1.582999969999999978e-01,5.499999999999999681e-03,5.499999999999999681e-03
4.324904918999999737e+00,1.228000000000000064e-01,4.400000000000000265e-03,4.400000000000000265e-03
4.764451980999999670e+00,9.843000000000000360e-02,3.500000000000000073e-03,3.500000000000000073e-03
5.239274979000000165e+00,8.132000300000000181e-02,2.899999999999999800e-03,2.899999999999999800e-03
5.739337920999999731e+00,5.751999800000000274e-02,2.299999999999999961e-03,2.299999999999999961e-03
6.264183998000000031e+00,4.481000100000000208e-02,1.799999999999999951e-03,1.799999999999999951e-03
6.814249991999999700e+00,3.812000200000000005e-02,1.600000000000000077e-03,1.600000000000000077e-03
7.389113903000000150e+00,2.824000100000000069e-02,1.299999999999999940e-03,1.299999999999999940e-03
7.989180088000000346e+00,2.264999999999999999e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,1.925999999999999934e-02,9.399999999999999719e-04,9.399999999999999719e-04
9.278955460000000599e+00,1.511000000000000017e-02,7.900000000000000121e-04,7.900000000000000121e-04
9.963854789999999184e+00,1.264999999999999979e-02,6.899999999999999667e-04,6.899999999999999667e-04
1.067393017000000022e+01,9.438999999999999474e-03,5.699999999999999772e-04,5.699999999999999772e-04
1.141368008000000067e+01,9.178999999999999659e-03,5.400000000000000069e-04,5.400000000000000069e-04
1.218859959000000082e+01,6.804000000000000152e-03,4.499999999999999877e-04,4.499999999999999877e-04
1.299353027000000083e+01,5.295000000000000227e-03,3.800000000000000209e-04,3.800000000000000209e-04
1.382361983999999921e+01,4.780000000000000394e-03,3.499999999999999964e-04,3.499999999999999964e-04
1.468826007999999916e+01,4.264999999999999694e-03,3.099999999999999999e-04,3.099999999999999999e-04
1.558835982999999992e+01,3.343000000000000051e-03,2.700000000000000035e-04,2.700000000000000035e-04
1.651816940000000145e+01,2.782000000000000185e-03,2.400000000000000061e-04,2.400000000000000061e-04
1.748312950000000043e+01,2.433999999999999966e-03,2.200000000000000078e-04,2.200000000000000078e-04
1.847809982000000062e+01,1.835000000000000043e-03,1.800000000000000113e-04,1.800000000000000113e-04
1.950794029000000052e+01,1.459999999999999926e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.057777976999999936e+01,1.596999999999999895e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.168276978000000099e+01,1.090000000000000040e-03,1.299999999999999886e-04,1.299999999999999886e-04
2.282751083000000136e+01,9.355999999999999733e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.401251029999999886e+01,8.381000000000000429e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.525189018000000019e+01,9.162999999999999921e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.656642914000000033e+01,7.196000000000000356e-04,8.700000000000000051e-05,8.700000000000000051e-05
2.795586013999999864e+01,5.555000000000000042e-04,7.200000000000000182e-05,7.200000000000000182e-05
2.943506049999999874e+01,5.843000000000000537e-04,7.100000000000000462e-05,7.100000000000000462e-05
3.100455093000000062e+01,4.327000000000000009e-04,6.000000000000000152e-05,6.000000000000000152e-05
3.266381073000000157e+01,3.603999999999999782e-04,5.199999999999999680e-05,5.199999999999999680e-05
3.443283843999999760e+01,2.088000000000000066e-04,3.800000000000000209e-05,3.800000000000000209e-05
3.632191849000000161e+01,3.004999999999999859e-04,4.500000000000000283e-05,4.500000000000000283e-05
3.833589934999999826e+01,3.029999999999999924e-04,4.399999999999999886e-05,4.399999999999999886e-05
4.048479079999999897e+01,2.682000000000000139e-04,4.000000000000000327e-05,4.000000000000000327e-05
4.278831862999999913e+01,1.390999999999999930e-04,2.799999999999999958e-05,2.799999999999999958e-05
4.526676178000000306e+01,1.023000000000000065e-04,2.300000000000000002e-05,2.300000000000000002e-05
4.793014145000000070e+01,1.402999999999999950e-04,2.699999999999999899e-05,2.699999999999999899e-05
