E,F,err_pos,err_neg
1.110044956000000083e+00,1.376000047000000004e+00,7.500000299999999565e-02,7.500000299999999565e-02
1.334615945999999997e+00,1.228999971999999996e+00,5.500000000000000028e-02,5.500000000000000028e-02
1.584676981000000096e+00,9.107000229999999696e-01,3.599999799999999833e-02,3.599999799999999833e-02
1.854724049999999957e+00,7.305999990000000555e-01,2.500000000000000139e-02,2.500000000000000139e-02
2.149419068999999904e+00,5.681999920000000426e-01,1.799999899999999917e-02,1.799999899999999917e-02
2.474167109000000142e+00,4.228000040000000070e-01,1.299999999999999940e-02,1.299999999999999940e-02
2.819574117999999796e+00,3.273000119999999735e-01,1.000000000000000021e-02,1.000000000000000021e-02
3.174901961999999855e+00,2.397000039999999943e-01,8.000000000000000167e-03,8.000000000000000167e-03
3.540169001000000204e+00,1.973000020000000021e-01,6.599999999999999964e-03,6.599999999999999964e-03
3.920152902999999966e+00,1.430000070000000123e-01,5.199999999999999761e-03,5.199999999999999761e-03
4.324904918999999737e+00,1.199000030000000050e-01,4.300000000000000003e-03,4.300000000000000003e-03
4.764451980999999670e+00,9.899999900000000519e-02,3.500000000000000073e-03,3.500000000000000073e-03
5.239274979000000165e+00,7.689999799999999719e-02,2.799999999999999972e-03,2.799999999999999972e-03
5.739337920999999731e+00,5.823000100000000345e-02,2.299999999999999961e-03,2.299999999999999961e-03
6.264183998000000031e+00,4.391999900000000123e-02,1.799999999999999951e-03,1.799999999999999951e-03
6.814249991999999700e+00,3.602999800000000058e-02,1.500000000000000031e-03,1.500000000000000031e-03
7.389113903000000150e+00,2.725999999999999951e-02,1.199999999999999895e-03,1.199999999999999895e-03
7.989180088000000346e+00,2.257999999999999938e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,1.675000000000000100e-02,8.700000000000000051e-04,8.700000000000000051e-04
9.278955460000000599e+00,1.508999999999999925e-02,7.900000000000000121e-04,7.900000000000000121e-04
9.963854789999999184e+00,1.162999999999999971e-02,6.599999999999999964e-04,6.599999999999999964e-04
1.067393017000000022e+01,9.065999999999999406e-03,5.599999999999999509e-04,5.599999999999999509e-04
1.141368008000000067e+01,8.847000000000000697e-03,5.299999999999999807e-04,5.299999999999999807e-04
1.218859959000000082e+01,6.288000000000000186e-03,4.299999999999999894e-04,4.299999999999999894e-04
1.299353027000000083e+01,5.658999999999999968e-03,3.899999999999999929e-04,3.899999999999999929e-04
1.382361983999999921e+01,4.393000000000000203e-03,3.299999999999999982e-04,3.299999999999999982e-04
1.468826007999999916e+01,3.758000000000000056e-03,2.900000000000000017e-04,2.900000000000000017e-04
1.558835982999999992e+01,3.083999999999999936e-03,2.599999999999999772e-04,2.599999999999999772e-04
1.651816940000000145e+01,2.510000000000000078e-03,2.300000000000000070e-04,2.300000000000000070e-04
1.748312950000000043e+01,1.879000000000000028e-03,1.900000000000000105e-04,1.900000000000000105e-04
1.847809982000000062e+01,2.128000000000000117e-03,2.000000000000000096e-04,2.000000000000000096e-04
1.950794029000000052e+01,1.500999999999999947e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.057777976999999936e+01,1.409000000000000096e-03,1.499999999999999869e-04,1.499999999999999869e-04
2.168276978000000099e+01,1.049000000000000019e-03,1.200000000000000030e-04,1.200000000000000030e-04
2.282751083000000136e+01,9.433999999999999461e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.401251029999999886e+01,6.442999999999999942e-04,9.100000000000000287e-05,9.100000000000000287e-05
2.525189018000000019e+01,7.967999999999999606e-04,9.600000000000000243e-05,9.600000000000000243e-05
2.656642914000000033e+01,6.532000000000000479e-04,8.299999999999999815e-05,8.299999999999999815e-05
2.795586013999999864e+01,6.179000000000000031e-04,7.700000000000000139e-05,7.700000000000000139e-05
2.943506049999999874e+01,6.147999999999999819e-04,7.299999999999999903e-05,7.299999999999999903e-05
3.100455093000000062e+01,4.545999999999999911e-04,6.099999999999999872e-05,6.099999999999999872e-05
3.266381073000000157e+01,3.307000000000000152e-04,5.000000000000000240e-05,5.000000000000000240e-05
3.443283843999999760e+01,2.177000000000000061e-04,4.000000000000000327e-05,4.000000000000000327e-05
3.632191849000000161e+01,2.538999999999999916e-04,4.199999999999999768e-05,4.199999999999999768e-05
3.833589934999999826e+01,2.222000000000000071e-04,3.800000000000000209e-05,3.800000000000000209e-05
4.048479079999999897e+01,1.473000000000000025e-04,3.000000000000000076e-05,3.000000000000000076e-05
4.278831862999999913e+01,9.160000000000000390e-05,2.300000000000000002e-05,2.300000000000000002e-05
4.526676178000000306e+01,1.343000000000000118e-04,2.699999999999999899e-05,2.699999999999999899e-05
4.793014145000000070e+01,1.813999999999999912e-04,2.900000000000000017e-05,2.900000000000000017e-05
