E,F,err_pos,err_neg
1.110044956000000083e+00,1.179999948000000076e+00,7.000000000000000666e-02,7.000000000000000666e-02
1.334615945999999997e+00,9.258999820000000103e-01,4.800000000000000100e-02,4.800000000000000100e-02
1.584676981000000096e+00,7.500000000000000000e-01,3.200000199999999961e-02,3.200000199999999961e-02
1.854724049999999957e+00,6.021000149999999884e-01,2.299999999999999961e-02,2.299999999999999961e-02
2.149419068999999904e+00,4.695000049999999980e-01,1.600000099999999981e-02,1.600000099999999981e-02
2.474167109000000142e+00,4.020000100000000187e-01,1.299999999999999940e-02,1.299999999999999940e-02
2.819574117999999796e+00,3.045000139999999855e-01,9.900000000000000813e-03,9.900000000000000813e-03
3.174901961999999855e+00,2.423000040000000133e-01,8.000000000000000167e-03,8.000000000000000167e-03
3.540169001000000204e+00,1.908999979999999874e-01,6.499999999999999702e-03,6.499999999999999702e-03
3.920152902999999966e+00,1.463000030000000118e-01,5.199999999999999761e-03,5.199999999999999761e-03
4.324904918999999737e+00,1.112999989999999967e-01,4.199999999999999740e-03,4.199999999999999740e-03
4.764451980999999670e+00,8.769000300000000248e-02,3.299999999999999982e-03,3.299999999999999982e-03
5.239274979000000165e+00,7.690999699999999384e-02,2.799999999999999972e-03,2.799999999999999972e-03
5.739337920999999731e+00,5.998000099999999807e-02,2.299999999999999961e-03,2.299999999999999961e-03
6.264183998000000031e+00,4.073999799999999949e-02,1.699999999999999905e-03,1.699999999999999905e-03
6.814249991999999700e+00,3.452000000000000207e-02,1.500000000000000031e-03,1.500000000000000031e-03
7.389113903000000150e+00,2.666999999999999926e-02,1.199999999999999895e-03,1.199999999999999895e-03
7.989180088000000346e+00,2.318999899999999934e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,2.010999999999999940e-02,9.499999999999999981e-04,9.499999999999999981e-04
9.278955460000000599e+00,1.439999999999999961e-02,7.699999999999999597e-04,7.699999999999999597e-04
9.963854789999999184e+00,1.299999999999999940e-02,6.999999999999999929e-04,6.999999999999999929e-04
1.067393017000000022e+01,1.017999999999999981e-02,5.900000000000000296e-04,5.900000000000000296e-04
1.141368008000000067e+01,8.810000000000000123e-03,5.199999999999999544e-04,5.199999999999999544e-04
1.218859959000000082e+01,6.403999999999999970e-03,4.299999999999999894e-04,4.299999999999999894e-04
1.299353027000000083e+01,5.629999999999999588e-03,3.899999999999999929e-04,3.899999999999999929e-04
1.382361983999999921e+01,4.373000000000000151e-03,3.299999999999999982e-04,3.299999999999999982e-04
1.468826007999999916e+01,3.624000000000000051e-03,2.900000000000000017e-04,2.900000000000000017e-04
1.558835982999999992e+01,3.582999999999999814e-03,2.799999999999999755e-04,2.799999999999999755e-04
1.651816940000000145e+01,2.869000000000000022e-03,2.400000000000000061e-04,2.400000000000000061e-04
1.748312950000000043e+01,2.350999999999999791e-03,2.100000000000000087e-04,2.100000000000000087e-04
1.847809982000000062e+01,1.810999999999999893e-03,1.800000000000000113e-04,1.800000000000000113e-04
1.950794029000000052e+01,1.647999999999999942e-03,1.700000000000000122e-04,1.700000000000000122e-04
2.057777976999999936e+01,1.717999999999999909e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.168276978000000099e+01,1.139999999999999954e-03,1.299999999999999886e-04,1.299999999999999886e-04
2.282751083000000136e+01,9.581000000000000323e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.401251029999999886e+01,8.905000000000000155e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.525189018000000019e+01,6.599999999999999964e-04,8.799999999999999771e-05,8.799999999999999771e-05
2.656642914000000033e+01,5.423999999999999568e-04,7.600000000000000418e-05,7.600000000000000418e-05
2.795586013999999864e+01,6.007000000000000187e-04,7.600000000000000418e-05,7.600000000000000418e-05
2.943506049999999874e+01,4.082000000000000016e-04,6.099999999999999872e-05,6.099999999999999872e-05
3.100455093000000062e+01,4.271999999999999756e-04,6.000000000000000152e-05,6.000000000000000152e-05
3.266381073000000157e+01,3.870999999999999767e-04,5.399999999999999798e-05,5.399999999999999798e-05
3.443283843999999760e+01,3.502000000000000013e-04,5.000000000000000240e-05,5.000000000000000240e-05
3.632191849000000161e+01,2.929000000000000180e-04,4.399999999999999886e-05,4.399999999999999886e-05
3.833589934999999826e+01,2.167000000000000089e-04,3.699999999999999811e-05,3.699999999999999811e-05
4.048479079999999897e+01,2.342000000000000006e-04,3.699999999999999811e-05,3.699999999999999811e-05
4.278831862999999913e+01,1.675000000000000057e-04,3.000000000000000076e-05,3.000000000000000076e-05
4.526676178000000306e+01,1.190000000000000058e-04,2.500000000000000120e-05,2.500000000000000120e-05
4.793014145000000070e+01,1.089000000000000043e-04,2.300000000000000002e-05,2.300000000000000002e-05
