E,F,err_pos,err_neg
1.110044956000000083e+00,2.733000039999999853e+00,1.099999990000000011e-01,1.099999990000000011e-01
1.334615945999999997e+00,2.121999978999999925e+00,7.699999999999999900e-02,7.699999999999999900e-02
1.584676981000000096e+00,1.572999953999999923e+00,5.099999899999999725e-02,5.099999899999999725e-02
1.854724049999999957e+00,1.088999987000000003e+00,3.300000000000000155e-02,3.300000000000000155e-02
2.149419068999999904e+00,8.389000300000000188e-01,2.299999999999999961e-02,2.299999999999999961e-02
2.474167109000000142e+00,5.963000059999999936e-01,1.600000099999999981e-02,1.600000099999999981e-02
2.819574117999999796e+00,4.420000020000000029e-01,1.299999999999999940e-02,1.299999999999999940e-02
3.174901961999999855e+00,3.504000010000000165e-01,1.000000000000000021e-02,1.000000000000000021e-02
3.540169001000000204e+00,2.522999940000000274e-01,7.900000000000000772e-03,7.900000000000000772e-03
3.920152902999999966e+00,1.900999989999999917e-01,6.199999999999999782e-03,6.199999999999999782e-03
4.324904918999999737e+00,1.473000050000000116e-01,4.899999999999999842e-03,4.899999999999999842e-03
4.764451980999999670e+00,1.111000030000000027e-01,3.899999999999999821e-03,3.899999999999999821e-03
5.239274979000000165e+00,8.908999700000000410e-02,3.099999999999999891e-03,3.099999999999999891e-03
5.739337920999999731e+00,6.688000299999999343e-02,2.500000000000000052e-03,2.500000000000000052e-03
6.264183998000000031e+00,5.090999999999999692e-02,2.000000000000000042e-03,2.000000000000000042e-03
6.814249991999999700e+00,4.035000100000000339e-02,1.600000000000000077e-03,1.600000000000000077e-03
7.389113903000000150e+00,3.068999899999999906e-02,1.299999999999999940e-03,1.299999999999999940e-03
7.989180088000000346e+00,2.514000099999999863e-02,1.199999999999999895e-03,1.199999999999999895e-03
8.618874549999999246e+00,1.926999899999999946e-02,9.600000000000000243e-04,9.600000000000000243e-04
9.278955460000000599e+00,1.581000000000000114e-02,8.300000000000000086e-04,8.300000000000000086e-04
9.963854789999999184e+00,1.299999999999999940e-02,7.100000000000000191e-04,7.100000000000000191e-04
1.067393017000000022e+01,9.428999999999999881e-03,5.900000000000000296e-04,5.900000000000000296e-04
1.141368008000000067e+01,8.604000000000000536e-03,5.299999999999999807e-04,5.299999999999999807e-04
1.218859959000000082e+01,6.386000000000000183e-03,4.400000000000000157e-04,4.400000000000000157e-04
1.299353027000000083e+01,6.071000000000000008e-03,4.099999999999999912e-04,4.099999999999999912e-04
1.382361983999999921e+01,4.708000000000000379e-03,3.600000000000000227e-04,3.600000000000000227e-04
1.468826007999999916e+01,4.468999999999999882e-03,3.299999999999999982e-04,3.299999999999999982e-04
1.558835982999999992e+01,3.373000000000000130e-03,2.799999999999999755e-04,2.799999999999999755e-04
1.651816940000000145e+01,2.864999999999999925e-03,2.500000000000000052e-04,2.500000000000000052e-04
1.748312950000000043e+01,2.197999999999999867e-03,2.100000000000000087e-04,2.100000000000000087e-04
1.847809982000000062e+01,1.974000000000000060e-03,1.900000000000000105e-04,1.900000000000000105e-04
1.950794029000000052e+01,1.690000000000000096e-03,1.700000000000000122e-04,1.700000000000000122e-04
2.057777976999999936e+01,1.557000000000000007e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.168276978000000099e+01,1.178999999999999927e-03,1.299999999999999886e-04,1.299999999999999886e-04
2.282751083000000136e+01,9.707999999999999616e-04,1.200000000000000030e-04,1.200000000000000030e-04
2.401251029999999886e+01,8.798999999999999747e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.525189018000000019e+01,7.604999999999999998e-04,9.399999999999999448e-05,9.399999999999999448e-05
2.656642914000000033e+01,6.601000000000000530e-04,8.399999999999999535e-05,8.399999999999999535e-05
2.795586013999999864e+01,6.800999999999999971e-04,8.299999999999999815e-05,8.299999999999999815e-05
2.943506049999999874e+01,4.807999999999999774e-04,6.600000000000000506e-05,6.600000000000000506e-05
3.100455093000000062e+01,4.599000000000000115e-04,6.299999999999999990e-05,6.299999999999999990e-05
3.266381073000000157e+01,2.992000000000000085e-04,4.899999999999999842e-05,4.899999999999999842e-05
3.443283843999999760e+01,3.080000000000000055e-04,4.800000000000000122e-05,4.800000000000000122e-05
3.632191849000000161e+01,2.535999999999999843e-04,4.199999999999999768e-05,4.199999999999999768e-05
3.833589934999999826e+01,2.762999999999999940e-04,4.199999999999999768e-05,4.199999999999999768e-05
4.048479079999999897e+01,1.715999999999999969e-04,3.199999999999999855e-05,3.199999999999999855e-05
4.278831862999999913e+01,1.600000000000000131e-04,3.000000000000000076e-05,3.000000000000000076e-05
4.526676178000000306e+01,1.571999999999999992e-04,2.900000000000000017e-05,2.900000000000000017e-05
4.793014145000000070e+01,2.014999999999999918e-04,3.100000000000000135e-05,3.100000000000000135e-05
