E,F,err_pos,err_neg
1.110044956000000083e+00,1.115000009999999930e+00,6.899999800000000683e-02,6.899999800000000683e-02
1.334615945999999997e+00,9.316999910000000051e-01,4.800000000000000100e-02,4.800000000000000100e-02
1.584676981000000096e+00,7.075999979999999523e-01,3.200000199999999961e-02,3.200000199999999961e-02
1.854724049999999957e+00,6.322000030000000104e-01,2.299999999999999961e-02,2.299999999999999961e-02
2.149419068999999904e+00,4.862999920000000142e-01,1.700000100000000069e-02,1.700000100000000069e-02
2.474167109000000142e+00,3.941999970000000242e-01,1.299999999999999940e-02,1.299999999999999940e-02
2.819574117999999796e+00,3.077999949999999929e-01,1.000000000000000021e-02,1.000000000000000021e-02
3.174901961999999855e+00,2.379000039999999982e-01,8.000000000000000167e-03,8.000000000000000167e-03
3.540169001000000204e+00,1.799000050000000017e-01,6.400000000000000307e-03,6.400000000000000307e-03
3.920152902999999966e+00,1.524000020000000066e-01,5.400000000000000286e-03,5.400000000000000286e-03
4.324904918999999737e+00,1.187999990000000033e-01,4.300000000000000003e-03,4.300000000000000003e-03
4.764451980999999670e+00,9.175000299999999664e-02,3.399999999999999811e-03,3.399999999999999811e-03
5.239274979000000165e+00,7.590000299999999367e-02,2.799999999999999972e-03,2.799999999999999972e-03
5.739337920999999731e+00,5.714000000000000329e-02,2.200000000000000133e-03,2.200000000000000133e-03
6.264183998000000031e+00,4.569000000000000145e-02,1.799999999999999951e-03,1.799999999999999951e-03
6.814249991999999700e+00,3.723999900000000279e-02,1.500000000000000031e-03,1.500000000000000031e-03
7.389113903000000150e+00,2.755999900000000169e-02,1.199999999999999895e-03,1.199999999999999895e-03
7.989180088000000346e+00,2.418999900000000022e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,1.890000000000000013e-02,9.200000000000000278e-04,9.200000000000000278e-04
9.278955460000000599e+00,1.535000000000000080e-02,8.000000000000000383e-04,8.000000000000000383e-04
9.963854789999999184e+00,1.273000000000000000e-02,6.899999999999999667e-04,6.899999999999999667e-04
1.067393017000000022e+01,9.514999999999999153e-03,5.699999999999999772e-04,5.699999999999999772e-04
1.141368008000000067e+01,8.425999999999999462e-03,5.100000000000000366e-04,5.100000000000000366e-04
1.218859959000000082e+01,7.623999999999999701e-03,4.699999999999999859e-04,4.699999999999999859e-04
1.299353027000000083e+01,5.464000000000000107e-03,3.800000000000000209e-04,3.800000000000000209e-04
1.382361983999999921e+01,4.361000000000000293e-03,3.299999999999999982e-04,3.299999999999999982e-04
1.468826007999999916e+01,4.353000000000000098e-03,3.200000000000000262e-04,3.200000000000000262e-04
1.558835982999999992e+01,3.578000000000000017e-03,2.799999999999999755e-04,2.799999999999999755e-04
1.651816940000000145e+01,2.837999999999999811e-03,2.400000000000000061e-04,2.400000000000000061e-04
1.748312950000000043e+01,2.621000000000000066e-03,2.200000000000000078e-04,2.200000000000000078e-04
1.847809982000000062e+01,2.060999999999999898e-03,1.900000000000000105e-04,1.900000000000000105e-04
1.950794029000000052e+01,1.443000000000000055e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.057777976999999936e+01,1.724000000000000055e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.168276978000000099e+01,1.137999999999999906e-03,1.299999999999999886e-04,1.299999999999999886e-04
2.282751083000000136e+01,1.018999999999999941e-03,1.200000000000000030e-04,1.200000000000000030e-04
2.401251029999999886e+01,6.943999999999999652e-04,9.399999999999999448e-05,9.399999999999999448e-05
2.525189018000000019e+01,9.083000000000000145e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.656642914000000033e+01,5.743000000000000275e-04,7.799999999999999859e-05,7.799999999999999859e-05
2.795586013999999864e+01,6.139999999999999625e-04,7.600000000000000418e-05,7.600000000000000418e-05
2.943506049999999874e+01,4.956999999999999601e-04,6.600000000000000506e-05,6.600000000000000506e-05
3.100455093000000062e+01,5.199000000000000062e-04,6.600000000000000506e-05,6.600000000000000506e-05
3.266381073000000157e+01,4.710000000000000102e-04,6.000000000000000152e-05,6.000000000000000152e-05
3.443283843999999760e+01,1.849999999999999973e-04,3.800000000000000209e-05,3.800000000000000209e-05
3.632191849000000161e+01,3.111999999999999749e-04,4.500000000000000283e-05,4.500000000000000283e-05
3.833589934999999826e+01,2.020000000000000040e-04,3.600000000000000091e-05,3.600000000000000091e-05
4.048479079999999897e+01,1.649999999999999991e-04,3.100000000000000135e-05,3.100000000000000135e-05
4.278831862999999913e+01,1.711000000000000118e-04,3.100000000000000135e-05,3.100000000000000135e-05
4.526676178000000306e+01,1.344999999999999896e-04,2.599999999999999840e-05,2.599999999999999840e-05
4.793014145000000070e+01,1.662000000000000012e-04,2.799999999999999958e-05,2.799999999999999958e-05
