E,F,err_pos,err_neg
1.110044956000000083e+00,2.213999986999999781e+00,1.000000010000000050e-01,1.000000010000000050e-01
1.334615945999999997e+00,1.985000013999999924e+00,7.400000099999999581e-02,7.400000099999999581e-02
1.584676981000000096e+00,1.235000013999999924e+00,4.399999999999999745e-02,4.399999999999999745e-02
1.854724049999999957e+00,9.868999720000000142e-01,3.099999900000000030e-02,3.099999900000000030e-02
2.149419068999999904e+00,7.565000060000000026e-01,2.199999999999999872e-02,2.199999999999999872e-02
2.474167109000000142e+00,5.424000020000000477e-01,1.600000099999999981e-02,1.600000099999999981e-02
2.819574117999999796e+00,4.221000080000000265e-01,1.200000000000000025e-02,1.200000000000000025e-02
3.174901961999999855e+00,2.998999949999999748e-01,9.400000000000000369e-03,9.400000000000000369e-03
3.540169001000000204e+00,2.339999969999999874e-01,7.599999999999999985e-03,7.599999999999999985e-03
3.920152902999999966e+00,1.796000000000000096e-01,6.100000000000000387e-03,6.100000000000000387e-03
4.324904918999999737e+00,1.356000009999999978e-01,4.799999999999999580e-03,4.799999999999999580e-03
4.764451980999999670e+00,1.117999999999999966e-01,3.899999999999999821e-03,3.899999999999999821e-03
5.239274979000000165e+00,8.597999800000000192e-02,3.099999999999999891e-03,3.099999999999999891e-03
5.739337920999999731e+00,6.088000200000000250e-02,2.399999999999999790e-03,2.399999999999999790e-03
6.264183998000000031e+00,4.828999900000000012e-02,2.000000000000000042e-03,2.000000000000000042e-03
6.814249991999999700e+00,3.840000200000000252e-02,1.600000000000000077e-03,1.600000000000000077e-03
7.389113903000000150e+00,3.149000200000000305e-02,1.399999999999999986e-03,1.399999999999999986e-03
7.989180088000000346e+00,2.395999999999999866e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,2.002000099999999908e-02,9.799999999999999684e-04,9.799999999999999684e-04
9.278955460000000599e+00,1.482999999999999943e-02,8.099999999999999561e-04,8.099999999999999561e-04
9.963854789999999184e+00,1.218999999999999945e-02,6.999999999999999929e-04,6.999999999999999929e-04
1.067393017000000022e+01,1.084000000000000068e-02,6.300000000000000261e-04,6.300000000000000261e-04
1.141368008000000067e+01,9.154999999999999943e-03,5.500000000000000331e-04,5.500000000000000331e-04
1.218859959000000082e+01,6.830000000000000134e-03,4.600000000000000139e-04,4.600000000000000139e-04
1.299353027000000083e+01,5.544000000000000317e-03,4.000000000000000192e-04,4.000000000000000192e-04
1.382361983999999921e+01,4.266999999999999960e-03,3.400000000000000244e-04,3.400000000000000244e-04
1.468826007999999916e+01,3.706999999999999792e-03,2.999999999999999737e-04,2.999999999999999737e-04
1.558835982999999992e+01,3.576000000000000185e-03,2.900000000000000017e-04,2.900000000000000017e-04
1.651816940000000145e+01,3.092999999999999829e-03,2.599999999999999772e-04,2.599999999999999772e-04
1.748312950000000043e+01,2.631999999999999791e-03,2.300000000000000070e-04,2.300000000000000070e-04
1.847809982000000062e+01,2.232000000000000043e-03,2.000000000000000096e-04,2.000000000000000096e-04
1.950794029000000052e+01,1.735999999999999913e-03,1.800000000000000113e-04,1.800000000000000113e-04
2.057777976999999936e+01,1.371000000000000040e-03,1.499999999999999869e-04,1.499999999999999869e-04
2.168276978000000099e+01,1.242000000000000048e-03,1.399999999999999877e-04,1.399999999999999877e-04
2.282751083000000136e+01,8.959000000000000383e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.401251029999999886e+01,9.116000000000000405e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.525189018000000019e+01,8.107999999999999756e-04,9.799999999999999684e-05,9.799999999999999684e-05
2.656642914000000033e+01,6.166999999999999739e-04,8.299999999999999815e-05,8.299999999999999815e-05
2.795586013999999864e+01,5.762999999999999677e-04,7.600000000000000418e-05,7.600000000000000418e-05
2.943506049999999874e+01,5.368000000000000375e-04,7.200000000000000182e-05,7.200000000000000182e-05
3.100455093000000062e+01,4.204999999999999754e-04,6.099999999999999872e-05,6.099999999999999872e-05
3.266381073000000157e+01,4.531000000000000088e-04,6.000000000000000152e-05,6.000000000000000152e-05
3.443283843999999760e+01,2.957999999999999800e-04,4.699999999999999724e-05,4.699999999999999724e-05
3.632191849000000161e+01,2.977000000000000262e-04,4.600000000000000004e-05,4.600000000000000004e-05
3.833589934999999826e+01,2.366000000000000048e-04,4.000000000000000327e-05,4.000000000000000327e-05
4.048479079999999897e+01,1.943000000000000066e-04,3.499999999999999693e-05,3.499999999999999693e-05
4.278831862999999913e+01,1.812000000000000134e-04,3.199999999999999855e-05,3.199999999999999855e-05
4.526676178000000306e+01,2.032000000000000061e-04,3.300000000000000253e-05,3.300000000000000253e-05
4.793014145000000070e+01,1.152999999999999972e-04,2.400000000000000061e-05,2.400000000000000061e-05
