E,F,err_pos,err_neg
1.110044956000000083e+00,2.716000080000000150e+00,1.099999990000000011e-01,1.099999990000000011e-01
1.334615945999999997e+00,2.020999907999999845e+00,7.500000299999999565e-02,7.500000299999999565e-02
1.584676981000000096e+00,1.623999952999999996e+00,5.099999899999999725e-02,5.099999899999999725e-02
1.854724049999999957e+00,1.151000022999999928e+00,3.400000200000000139e-02,3.400000200000000139e-02
2.149419068999999904e+00,8.090999719999999451e-01,2.299999999999999961e-02,2.299999999999999961e-02
2.474167109000000142e+00,6.018999809999999728e-01,1.600000099999999981e-02,1.600000099999999981e-02
2.819574117999999796e+00,4.494999949999999855e-01,1.299999999999999940e-02,1.299999999999999940e-02
3.174901961999999855e+00,3.521000149999999884e-01,1.000000000000000021e-02,1.000000000000000021e-02
3.540169001000000204e+00,2.574000060000000145e-01,7.900000000000000772e-03,7.900000000000000772e-03
3.920152902999999966e+00,1.985999940000000019e-01,6.300000000000000044e-03,6.300000000000000044e-03
4.324904918999999737e+00,1.507000029999999990e-01,5.000000000000000104e-03,5.000000000000000104e-03
4.764451980999999670e+00,1.097000020000000048e-01,3.799999999999999992e-03,3.799999999999999992e-03
5.239274979000000165e+00,8.545999999999999430e-02,3.099999999999999891e-03,3.099999999999999891e-03
5.739337920999999731e+00,6.785000099999999312e-02,2.500000000000000052e-03,2.500000000000000052e-03
6.264183998000000031e+00,5.172000100000000156e-02,2.000000000000000042e-03,2.000000000000000042e-03
6.814249991999999700e+00,4.118999799999999850e-02,1.699999999999999905e-03,1.699999999999999905e-03
7.389113903000000150e+00,3.310000200000000337e-02,1.399999999999999986e-03,1.399999999999999986e-03
7.989180088000000346e+00,2.360999999999999904e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,1.949000000000000038e-02,9.600000000000000243e-04,9.600000000000000243e-04
9.278955460000000599e+00,1.614000100000000104e-02,8.400000000000000348e-04,8.400000000000000348e-04
9.963854789999999184e+00,1.247000000000000018e-02,6.999999999999999929e-04,6.999999999999999929e-04
1.067393017000000022e+01,1.034000000000000023e-02,6.099999999999999737e-04,6.099999999999999737e-04
1.141368008000000067e+01,8.297999999999999821e-03,5.199999999999999544e-04,5.199999999999999544e-04
1.218859959000000082e+01,6.446999999999999606e-03,4.400000000000000157e-04,4.400000000000000157e-04
1.299353027000000083e+01,5.382999999999999764e-03,3.899999999999999929e-04,3.899999999999999929e-04
1.382361983999999921e+01,4.484000000000000138e-03,3.499999999999999964e-04,3.499999999999999964e-04
1.468826007999999916e+01,3.743999999999999932e-03,2.999999999999999737e-04,2.999999999999999737e-04
1.558835982999999992e+01,3.511999999999999931e-03,2.799999999999999755e-04,2.799999999999999755e-04
1.651816940000000145e+01,2.853000000000000067e-03,2.500000000000000052e-04,2.500000000000000052e-04
1.748312950000000043e+01,2.377999999999999906e-03,2.200000000000000078e-04,2.200000000000000078e-04
1.847809982000000062e+01,1.781999999999999947e-03,1.800000000000000113e-04,1.800000000000000113e-04
1.950794029000000052e+01,1.469999999999999953e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.057777976999999936e+01,1.304000000000000038e-03,1.399999999999999877e-04,1.399999999999999877e-04
2.168276978000000099e+01,1.111000000000000008e-03,1.299999999999999886e-04,1.299999999999999886e-04
2.282751083000000136e+01,1.167000000000000069e-03,1.299999999999999886e-04,1.299999999999999886e-04
2.401251029999999886e+01,9.728000000000000102e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.525189018000000019e+01,8.968000000000000060e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.656642914000000033e+01,7.104999999999999771e-04,8.700000000000000051e-05,8.700000000000000051e-05
2.795586013999999864e+01,6.375000000000000458e-04,7.899999999999999579e-05,7.899999999999999579e-05
2.943506049999999874e+01,7.332999999999999892e-04,8.100000000000000375e-05,8.100000000000000375e-05
3.100455093000000062e+01,4.086000000000000114e-04,5.899999999999999754e-05,5.899999999999999754e-05
3.266381073000000157e+01,3.637000000000000042e-04,5.300000000000000078e-05,5.300000000000000078e-05
3.443283843999999760e+01,3.654999999999999937e-04,5.199999999999999680e-05,5.199999999999999680e-05
3.632191849000000161e+01,3.007999999999999932e-04,4.500000000000000283e-05,4.500000000000000283e-05
3.833589934999999826e+01,3.071999999999999861e-04,4.500000000000000283e-05,4.500000000000000283e-05
4.048479079999999897e+01,1.810000000000000085e-04,3.300000000000000253e-05,3.300000000000000253e-05
4.278831862999999913e+01,1.392999999999999978e-04,2.799999999999999958e-05,2.799999999999999958e-05
4.526676178000000306e+01,1.045999999999999946e-04,2.400000000000000061e-05,2.400000000000000061e-05
4.793014145000000070e+01,1.225999999999999985e-04,2.500000000000000120e-05,2.500000000000000120e-05
