E,F,err_pos,err_neg
1.110044956000000083e+00,3.392999887000000214e+00,1.400000010000000128e-01,1.400000010000000128e-01
1.334615945999999997e+00,2.710999966000000150e+00,9.700000300000000131e-02,9.700000300000000131e-02
1.584676981000000096e+00,1.873999952999999996e+00,6.100000099999999814e-02,6.100000099999999814e-02
1.854724049999999957e+00,1.383999943999999926e+00,4.100000100000000119e-02,4.100000100000000119e-02
2.149419068999999904e+00,9.179999829999999639e-01,2.600000099999999828e-02,2.600000099999999828e-02
2.474167109000000142e+00,7.174000139999999748e-01,1.899999900000000005e-02,1.899999900000000005e-02
2.819574117999999796e+00,5.060999990000000226e-01,1.400000000000000029e-02,1.400000000000000029e-02
3.174901961999999855e+00,3.700000050000000207e-01,1.099999999999999936e-02,1.099999999999999936e-02
3.540169001000000204e+00,2.666000130000000246e-01,8.399999999999999481e-03,8.399999999999999481e-03
3.920152902999999966e+00,2.222000060000000055e-01,7.000000000000000146e-03,7.000000000000000146e-03
4.324904918999999737e+00,1.518999930000000109e-01,5.199999999999999761e-03,5.199999999999999761e-03
4.764451980999999670e+00,1.174999999999999933e-01,4.100000000000000346e-03,4.100000000000000346e-03
5.239274979000000165e+00,8.857999699999999366e-02,3.200000000000000153e-03,3.200000000000000153e-03
5.739337920999999731e+00,6.689000100000000448e-02,2.500000000000000052e-03,2.500000000000000052e-03
6.264183998000000031e+00,5.491999899999999712e-02,2.099999999999999870e-03,2.099999999999999870e-03
6.814249991999999700e+00,4.132999899999999921e-02,1.699999999999999905e-03,1.699999999999999905e-03
7.389113903000000150e+00,3.054000100000000065e-02,1.399999999999999986e-03,1.399999999999999986e-03
7.989180088000000346e+00,2.423000000000000154e-02,1.199999999999999895e-03,1.199999999999999895e-03
8.618874549999999246e+00,2.204000000000000056e-02,1.000000000000000021e-03,1.000000000000000021e-03
9.278955460000000599e+00,1.472000000000000045e-02,8.199999999999999824e-04,8.199999999999999824e-04
9.963854789999999184e+00,1.325999999999999922e-02,7.299999999999999632e-04,7.299999999999999632e-04
1.067393017000000022e+01,1.018999999999999941e-02,6.099999999999999737e-04,6.099999999999999737e-04
1.141368008000000067e+01,9.015000000000000444e-03,5.500000000000000331e-04,5.500000000000000331e-04
1.218859959000000082e+01,7.152999999999999636e-03,4.699999999999999859e-04,4.699999999999999859e-04
1.299353027000000083e+01,5.086000000000000243e-03,3.800000000000000209e-04,3.800000000000000209e-04
1.382361983999999921e+01,4.252999999999999836e-03,3.400000000000000244e-04,3.400000000000000244e-04
1.468826007999999916e+01,3.997999999999999818e-03,3.200000000000000262e-04,3.200000000000000262e-04
1.558835982999999992e+01,2.850000000000000103e-03,2.599999999999999772e-04,2.599999999999999772e-04
1.651816940000000145e+01,2.465999999999999876e-03,2.300000000000000070e-04,2.300000000000000070e-04
1.748312950000000043e+01,1.925000000000000062e-03,2.000000000000000096e-04,2.000000000000000096e-04
1.847809982000000062e+01,2.138000000000000143e-03,2.000000000000000096e-04,2.000000000000000096e-04
1.950794029000000052e+01,1.887000000000000005e-03,1.800000000000000113e-04,1.800000000000000113e-04
2.057777976999999936e+01,1.405999999999999915e-03,1.499999999999999869e-04,1.499999999999999869e-04
2.168276978000000099e+01,1.374000000000000004e-03,1.499999999999999869e-04,1.499999999999999869e-04
2.282751083000000136e+01,1.110000000000000092e-03,1.299999999999999886e-04,1.299999999999999886e-04
2.401251029999999886e+01,7.510000000000000399e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.525189018000000019e+01,7.259000000000000261e-04,9.200000000000000007e-05,9.200000000000000007e-05
2.656642914000000033e+01,6.451999999999999619e-04,8.299999999999999815e-05,8.299999999999999815e-05
2.795586013999999864e+01,4.663000000000000044e-04,6.999999999999999387e-05,6.999999999999999387e-05
2.943506049999999874e+01,5.197999999999999496e-04,6.899999999999999667e-05,6.899999999999999667e-05
3.100455093000000062e+01,4.624000000000000180e-04,6.299999999999999990e-05,6.299999999999999990e-05
3.266381073000000157e+01,3.327000000000000096e-04,5.099999999999999960e-05,5.099999999999999960e-05
3.443283843999999760e+01,3.561999999999999845e-04,5.099999999999999960e-05,5.099999999999999960e-05
3.632191849000000161e+01,2.857000000000000056e-04,4.500000000000000283e-05,4.500000000000000283e-05
3.833589934999999826e+01,2.084999999999999994e-04,3.699999999999999811e-05,3.699999999999999811e-05
4.048479079999999897e+01,2.253000000000000011e-04,3.800000000000000209e-05,3.800000000000000209e-05
4.278831862999999913e+01,2.394999999999999939e-04,3.699999999999999811e-05,3.699999999999999811e-05
4.526676178000000306e+01,1.400999999999999902e-04,2.799999999999999958e-05,2.799999999999999958e-05
4.793014145000000070e+01,1.322999999999999903e-04,2.599999999999999840e-05,2.599999999999999840e-05
