E,F,err_pos,err_neg
1.110044956000000083e+00,1.618999958000000072e+00,9.199999999999999845e-02,9.199999999999999845e-02
1.334615945999999997e+00,1.289000034000000072e+00,6.400000299999999975e-02,6.400000299999999975e-02
1.584676981000000096e+00,1.111999989000000078e+00,4.399999999999999745e-02,4.399999999999999745e-02
1.854724049999999957e+00,7.419999840000000013e-01,2.800000100000000006e-02,2.800000100000000006e-02
2.149419068999999904e+00,5.889999870000000026e-01,2.000000000000000042e-02,2.000000000000000042e-02
2.474167109000000142e+00,4.453000129999999945e-01,1.499999999999999944e-02,1.499999999999999944e-02
2.819574117999999796e+00,3.300000129999999809e-01,1.099999999999999936e-02,1.099999999999999936e-02
3.174901961999999855e+00,2.576000090000000187e-01,8.999999999999999320e-03,8.999999999999999320e-03
3.540169001000000204e+00,2.016000000000000014e-01,7.199999999999999803e-03,7.199999999999999803e-03
3.920152902999999966e+00,1.502999959999999913e-01,5.700000000000000205e-03,5.700000000000000205e-03
4.324904918999999737e+00,1.272000070000000038e-01,4.700000000000000185e-03,4.700000000000000185e-03
4.764451980999999670e+00,9.991999699999999651e-02,3.799999999999999992e-03,3.799999999999999992e-03
5.239274979000000165e+00,7.277999799999999853e-02,2.899999999999999800e-03,2.899999999999999800e-03
5.739337920999999731e+00,5.455000000000000127e-02,2.299999999999999961e-03,2.299999999999999961e-03
6.264183998000000031e+00,4.202000100000000127e-02,1.799999999999999951e-03,1.799999999999999951e-03
6.814249991999999700e+00,3.694999999999999674e-02,1.600000000000000077e-03,1.600000000000000077e-03
7.389113903000000150e+00,2.678000000000000172e-02,1.299999999999999940e-03,1.299999999999999940e-03
7.989180088000000346e+00,2.186000000000000096e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,1.799000099999999852e-02,9.300000000000000541e-04,9.300000000000000541e-04
9.278955460000000599e+00,1.405999999999999958e-02,7.900000000000000121e-04,7.900000000000000121e-04
9.963854789999999184e+00,1.115000000000000019e-02,6.700000000000000226e-04,6.700000000000000226e-04
1.067393017000000022e+01,9.638000000000000733e-03,5.900000000000000296e-04,5.900000000000000296e-04
1.141368008000000067e+01,8.311999999999999944e-03,5.299999999999999807e-04,5.299999999999999807e-04
1.218859959000000082e+01,6.138000000000000227e-03,4.299999999999999894e-04,4.299999999999999894e-04
1.299353027000000083e+01,5.673000000000000091e-03,4.000000000000000192e-04,4.000000000000000192e-04
1.382361983999999921e+01,4.531999999999999570e-03,3.499999999999999964e-04,3.499999999999999964e-04
1.468826007999999916e+01,3.944999999999999722e-03,3.099999999999999999e-04,3.099999999999999999e-04
1.558835982999999992e+01,2.745000000000000044e-03,2.500000000000000052e-04,2.500000000000000052e-04
1.651816940000000145e+01,2.507999999999999813e-03,2.300000000000000070e-04,2.300000000000000070e-04
1.748312950000000043e+01,2.284000000000000006e-03,2.100000000000000087e-04,2.100000000000000087e-04
1.847809982000000062e+01,1.843999999999999936e-03,1.900000000000000105e-04,1.900000000000000105e-04
1.950794029000000052e+01,1.794999999999999938e-03,1.800000000000000113e-04,1.800000000000000113e-04
2.057777976999999936e+01,1.185000000000000072e-03,1.399999999999999877e-04,1.399999999999999877e-04
2.168276978000000099e+01,1.384999999999999946e-03,1.399999999999999877e-04,1.399999999999999877e-04
2.282751083000000136e+01,1.082000000000000062e-03,1.200000000000000030e-04,1.200000000000000030e-04
2.401251029999999886e+01,9.342999999999999959e-04,1.100000000000000039e-04,1.100000000000000039e-04
2.525189018000000019e+01,8.356000000000000363e-04,9.899999999999999404e-05,9.899999999999999404e-05
2.656642914000000033e+01,6.208000000000000193e-04,8.299999999999999815e-05,8.299999999999999815e-05
2.795586013999999864e+01,5.263000000000000534e-04,7.299999999999999903e-05,7.299999999999999903e-05
2.943506049999999874e+01,5.190999999999999868e-04,6.899999999999999667e-05,6.899999999999999667e-05
3.100455093000000062e+01,3.564999999999999918e-04,5.599999999999999916e-05,5.599999999999999916e-05
3.266381073000000157e+01,3.567999999999999991e-04,5.300000000000000078e-05,5.300000000000000078e-05
3.443283843999999760e+01,3.469999999999999777e-04,5.099999999999999960e-05,5.099999999999999960e-05
3.632191849000000161e+01,2.511999999999999802e-04,4.199999999999999768e-05,4.199999999999999768e-05
3.833589934999999826e+01,1.866000000000000091e-04,3.600000000000000091e-05,3.600000000000000091e-05
4.048479079999999897e+01,2.667999999999999799e-04,4.000000000000000327e-05,4.000000000000000327e-05
4.278831862999999913e+01,1.682999999999999980e-04,3.100000000000000135e-05,3.100000000000000135e-05
4.526676178000000306e+01,1.676000000000000081e-04,3.000000000000000076e-05,3.000000000000000076e-05
4.793014145000000070e+01,1.734999999999999889e-04,3.000000000000000076e-05,3.000000000000000076e-05
