E,F,err_pos,err_neg
1.049948900999999957e+01,1.050397800000000062e-02,1.604359999999999933e-04,1.604359999999999933e-04
1.149948900999999957e+01,8.136020000000000751e-03,1.141830000000000010e-04,1.141830000000000010e-04
1.249948900999999957e+01,6.385542000000000128e-03,1.041429999999999954e-04,1.041429999999999954e-04
1.349948900999999957e+01,4.955555999999999850e-03,8.899999999999999491e-05,8.899999999999999491e-05
1.469948881999999912e+01,3.838174000000000186e-03,7.600000000000000418e-05,7.600000000000000418e-05
1.589948863000000046e+01,3.117154999999999926e-03,5.619999999999999725e-05,5.619999999999999725e-05
1.729948824999999957e+01,2.448559999999999799e-03,4.530000000000000335e-05,4.530000000000000335e-05
1.869948976999999957e+01,1.936992000000000011e-03,3.899999999999999929e-05,3.899999999999999929e-05
2.029948823999999874e+01,1.516699000000000042e-03,3.279999999999999767e-05,3.279999999999999767e-05
2.189948863000000046e+01,1.183177000000000100e-03,2.680000000000000090e-05,2.680000000000000090e-05
2.369948976999999957e+01,9.580149999999999950e-04,2.229999999999999994e-05,2.229999999999999994e-05
2.569948976999999957e+01,7.445649999999999838e-04,1.769999999999999994e-05,1.769999999999999994e-05
2.769948976999999957e+01,6.036359999999999513e-04,1.599999999999999928e-05,1.599999999999999928e-05
2.989948861999999963e+01,4.908420000000000144e-04,1.369999999999999927e-05,1.369999999999999927e-05
3.229948824000000229e+01,3.890979999999999938e-04,1.230000000000000082e-05,1.230000000000000082e-05
3.479948824000000229e+01,3.097350000000000016e-04,9.969999999999999411e-06,9.969999999999999411e-06
3.749948899999999696e+01,2.527079999999999800e-04,8.549999999999999454e-06,8.549999999999999454e-06
4.039949053000000134e+01,2.119459999999999931e-04,8.660000000000000095e-06,8.660000000000000095e-06
4.349948899999999696e+01,1.662880000000000044e-04,7.619999999999999888e-06,7.619999999999999888e-06
4.679948824000000229e+01,1.361000000000000014e-04,6.970000000000000182e-06,6.970000000000000182e-06
5.029948824000000229e+01,1.102999999999999977e-04,5.969999999999999592e-06,5.969999999999999592e-06
5.409948748000000052e+01,9.270000000000000353e-05,5.360000000000000350e-06,5.360000000000000350e-06
5.819948976999999957e+01,7.310000000000000146e-05,4.670000000000000180e-06,4.670000000000000180e-06
6.249948899999999696e+01,6.090000000000000307e-05,4.210000000000000349e-06,4.210000000000000349e-06
6.719948594999999614e+01,5.089999999999999717e-05,3.719999999999999959e-06,3.719999999999999959e-06
7.219948594999999614e+01,4.279999999999999679e-05,3.300000000000000168e-06,3.300000000000000168e-06
7.759948747999999341e+01,3.330000000000000305e-05,2.849999999999999818e-06,2.849999999999999818e-06
8.649948899999999696e+01,2.769999999999999906e-05,1.810000000000000035e-06,1.810000000000000035e-06
9.999948899999999696e+01,1.660000000000000031e-05,1.349999999999999992e-06,1.349999999999999992e-06
1.159994889999999970e+02,1.060000000000000016e-05,1.080000000000000036e-06,1.080000000000000036e-06
1.349994890000000112e+02,6.829999999999999829e-06,8.309999999999999635e-07,8.309999999999999635e-07
1.599994890000000112e+02,5.100000000000000299e-06,8.040000000000000526e-07,8.040000000000000526e-07
1.919994890000000112e+02,2.820000000000000105e-06,6.269999999999999896e-07,6.269999999999999896e-07
2.339994890000000112e+02,1.680000000000000009e-06,4.169999999999999885e-07,4.169999999999999885e-07
3.409994889999999828e+02,5.530000000000000417e-07,2.010000000000000131e-07,2.010000000000000131e-07
