E,F,err_pos,err_neg
1.199999999999999956e-01,5.800000000000000294e-02,3.000000000000000062e-03,3.000000000000000062e-03
1.419999999999999873e-01,6.600000000000000311e-02,3.000000000000000062e-03,3.000000000000000062e-03
1.700000000000000122e-01,7.699999999999999900e-02,3.000000000000000062e-03,3.000000000000000062e-03
2.000000000000000111e-01,8.300000000000000433e-02,3.000000000000000062e-03,3.000000000000000062e-03
2.399999999999999911e-01,8.799999999999999489e-02,4.000000000000000083e-03,4.000000000000000083e-03
2.849999999999999756e-01,9.299999999999999933e-02,5.000000000000000104e-03,5.000000000000000104e-03
3.400000000000000244e-01,8.899999999999999578e-02,6.000000000000000125e-03,6.000000000000000125e-03
