E,F,error_pos,error_neg
21.9089,0.00009,0.00006,0.00006
26.9258,0.00009,0.00004,0.00004
33.8674,0.00005,0.00002,0.00002
47.7389,0.000031,0.000012,0.000012
74.5721,0.000005,0.000003,0.000003
