E,F,error_pos,error_neg
0.519615,0.015,0.002,0.002
0.69282,0.021,0.002,0.002
0.938083,0.022,0.002,0.002
1.28452,0.02,0.002,0.002
1.73205,0.016,0.002,0.002
2.44949,0.019,0.002,0.002
3.4641,0.011,0.002,0.002
0.69,0.068,0.008,0.008
0.79,0.06,0.006,0.006
0.92,0.06,0.006,0.006
1.1,0.05,0.004,0.004
1.35,0.028,0.003,0.003
1.65,0.018,0.002,0.002
