E,F,error_pos,error_neg
0.8,0.0681,0.00306373,0.00306373
1,0.058,0.00241225,0.00241225
1.25,0.0465,0.00169079,0.00169079
1.6,0.0338,0.00103593,0.00103593
2.1,0.0222,0.000651849,0.000651849
2.65,0.0158,0.00044029,0.00044029
3.35,0.0106,0.000266397,0.000266397
4.3,0.00662,0.000178522,0.000178522
5.6,0.00413,0.000111609,0.000111609
7.5,0.00226,0.0000803,0.0000803
10.6,0.000984,0.0000292,0.0000292
16.2,0.000331,0.0000157,0.0000157
35,0.0000412,0.00000647,0.00000647
