E,F,error_pos,error_neg
0.547723,0.171,0.016,0.016
0.648074,0.21,0.019,0.019
0.748331,0.158,0.018,0.018
0.848528,0.127,0.017,0.017
0.948683,0.117,0.016,0.016
1.09545,0.12,0.0115,0.0115
1.34164,0.061,0.00666667,0.00666667
1.73205,0.0392,0.004,0.004
2.44949,0.0185,0.002,0.002
