E,F,error_pos,error_neg
2.768,0.0173,0.00276531,0.00276531
3.089,0.0116,0.00172923,0.00184551
3.778,0.008,0.00151605,0.00135205
4.592,0.00553,0.000826803,0.000882351
5.251,0.00437,0.000613291,0.000656973
6.115,0.00315,0.000532076,0.000564196
7.253,0.00207,0.000309087,0.000329839
8.815,0.00135,0.000372685,0.000387726
12.1,0.00119,0.000777556,0.00159438
