E,F,error_pos,error_neg
0.12,0.18,0.007,0.007
0.142,0.193,0.007,0.007
0.17,0.208,0.007,0.007
0.2,0.22,0.009,0.009
0.24,0.235,0.01,0.01
0.285,0.226,0.011,0.011
0.34,0.213,0.012,0.012
