E,F,error_pos,error_neg
0.9,0.075,0.006,0.006
1.1,0.063,0.005,0.005
1.5,0.033,0.003,0.003
2,0.02,0.002,0.002
21,0.00021,0.00001,0.00001
70,0.000011,0.000001,0.000001
223,0.00000052,0.00000009,0.00000009
644,0.000000021,0.00000001,0.000000016
1257,0.0000000026,0.0000000014,0.0000000025
