E1,E2,F,error_pos,error_neg
0.119999997,0.119999997,0.008,0.001,0.001
0.142000005,0.142000005,0.01,0.001,0.001
0.170000002,0.170000002,0.011,0.001,0.001
0.200000003,0.200000003,0.011,0.001,0.001
0.239999995,0.239999995,0.013,0.001,0.001
0.284999996,0.284999996,0.015,0.001,0.001
0.340000004,0.340000004,0.017000001,0.002,0.002
