E1,E2,F,error_pos,error_neg
0.119999997,0.119999997,0.029999999,0.002,0.002
0.142000005,0.142000005,0.032000002,0.002,0.002
0.170000002,0.170000002,0.035999998,0.002,0.002
0.200000003,0.200000003,0.039999999,0.002,0.002
0.239999995,0.239999995,0.039999999,0.002,0.002
0.284999996,0.284999996,0.043000001,0.003,0.003
0.340000004,0.340000004,0.043000001,0.005,0.005
0.66839999,0.66839999,0.027000001,0.006,0.006
